EncuestaHogar_id,DEPARTAMENTO,Estrato,IdTamanoHogar,TamanoHogar,Personas,PersonasMenor4,PersonasDesde4,Autos,Motos,Otros,Vehiculos,EspaciosEstacionamiento,AutoECH,MotoECH,ZonaIMM,Ponderacion
7514,1,2,3,3 o 4 Personas,4,0,4,1,0,0,1,4,1,2,Oeste,182.5812590138
7515,3,9,3,3 o 4 Personas,3,0,3,1,0,0,1,0,2,2,,238.301251944
7516,1,1,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,65.4907322537
7517,1,2,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Oeste,182.5812590138
7518,3,9,1,1 Persona,1,0,1,1,0,0,1,4,2,1,,111.9349433838
7519,1,1,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,196.4721967612
7520,1,1,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,121.6256456141
7521,3,5,1,1 Persona,1,0,1,0,0,0,0,1,2,2,,1253.6713658981
7522,1,1,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Oeste,372.1119601936
7524,1,1,1,1 Persona,1,0,1,1,0,0,1,1,1,2,Oeste,271.2109724508
7525,1,1,4,5 o mas Personas,6,0,6,0,0,0,0,1,2,2,Oeste,375.7318292434
7526,1,1,2,2 Personas,2,0,2,0,1,0,1,1,2,1,Oeste,444.4013974361
7528,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Este,368.5057170264
7529,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,182.1904379479
7530,3,9,4,5 o mas Personas,5,0,5,0,0,0,0,0,2,2,,375.9046007289
7555,1,1,3,3 o 4 Personas,4,3,1,0,0,0,0,0,2,2,Este,675.5009256207
7556,1,2,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Este,2048.9674622654
7557,1,3,3,3 o 4 Personas,4,0,4,2,0,0,2,0,1,2,Este,357.4912583621
7558,1,3,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Este,888.3573681597
7559,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Este,603.8165965733
7564,1,2,3,3 o 4 Personas,3,0,3,1,1,0,2,1,2,1,Este,1077.8075384695
7565,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,152.8867598434
7137,1,3,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,1,Centro,629.2531357798
7138,1,3,3,3 o 4 Personas,4,0,4,0,1,0,1,1,1,1,Oeste,270.4100544021
7139,3,5,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,,878.7358665437
7140,1,2,3,3 o 4 Personas,3,0,3,1,0,0,1,0,1,2,Oeste,157.1802660268
7141,1,3,2,2 Personas,2,0,2,0,0,0,0,1,2,2,Oeste,287.5727149435
7143,3,5,2,2 Personas,2,0,2,0,0,0,0,0,2,2,,332.5450029882
7144,1,2,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,105.6872017696
7145,1,3,1,1 Persona,1,0,1,1,0,0,1,1,1,2,Oeste,315.2277820346
7146,3,5,2,2 Personas,2,0,2,0,1,1,2,1,1,2,,332.5450029882
7451,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,118.3954110928
7452,1,4,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,108.8500883011
