EncuestaPersona_id,EncuestaHogar_ID,zonaimm,ZatHogar,MZatHogar,DptoHogar,estrato,Anillo,Idpersonaech,PARENTESCO,FECHAVIAJES,LUGAR4MANANAENUM,zat4am,Edad,Edad052009,NacimientoAnio,sexo,TamanoHogar,PersonasenHogar,Vehiculosenhogar,TipousuarioModo,Preescolar,PrimariaComun,PrimariaEspecial,CicloBasicoLiceo,BachillerSecundario,BachillerTecnilogico,Tecnico,Profesorado,Universitario,Terciario,Posgrado,EstudioPrincipal,AsistenciaInstitutoEducativo,Jubilado,Pensionista,Rentista,Estudiante,QuehaceresEnCasa,¿Se movió?,Ponderacion
9806,8043,Centro,19,1,1,3,Montevideo,2,2,08/09/2009 00:00:00.000000,1,19,78,78,1931,2,2 Personas,2,1,,0,6,0,3,0,0,0,0,0,0,0,0,2,2,1,2,2,1,#N/D,422.2586700437
9814,8046,Este,102,15,1,1,Montevideo,2,2,26/08/0009 00:00:00.000000,1,102,69,69,1940,2,5 o mas Personas,5,2,5,0,6,0,3,1,0,0,0,0,0,0,0,2,1,2,2,2,1,SI,433.8995173938
9815,8046,Este,102,15,1,1,Montevideo,3,8,26/08/0009 00:00:00.000000,1,102,91,91,1917,2,5 o mas Personas,5,2,,0,6,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,#N/D,433.8995173938
9816,8046,Este,102,15,1,1,Montevideo,4,3,26/08/0009 00:00:00.000000,1,102,40,40,1968,2,5 o mas Personas,5,2,1,1,6,0,3,3,0,0,0,5,0,0,PSICOLOGA,2,2,2,2,2,1,SI,433.8995173938
9819,8047,Este,102,15,1,2,Montevideo,2,2,01/09/0009 00:00:00.000000,1,102,36,36,1973,2,5 o mas Personas,5,1,9,0,6,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,SI,318.7607991466
9820,8047,Este,102,15,1,2,Montevideo,4,3,01/09/0009 00:00:00.000000,1,102,15,17,1992,2,5 o mas Personas,5,1,5,2,6,0,2,0,0,0,0,0,0,0,0,1,2,2,2,1,1,SI,318.7607991466
9821,8047,Este,102,15,1,2,Montevideo,4,3,01/09/0009 00:00:00.000000,1,102,15,15,1994,2,5 o mas Personas,5,1,9,2,6,0,2,0,0,0,0,0,0,0,0,1,2,2,2,1,1,SI,318.7607991466
9824,8048,Centro,5,1,1,3,Montevideo,1,1,11/08/2009 00:00:00.000000,1,5,27,27,1981,2,2 Personas,2,0,5,0,6,0,3,3,0,0,0,5,0,0,LICENCIADA NUTRICION,2,2,2,2,2,1,SI,422.2586700437
9825,8048,Centro,5,1,1,3,Montevideo,2,9,11/09/2009 00:00:00.000000,1,5,22,22,1986,2,2 Personas,2,0,5,0,6,0,3,3,0,0,0,3,0,0,ARQUITECTURA,1,2,2,2,1,1,SI,422.2586700437
9829,8053,Este,102,15,1,2,Montevideo,1,1,24/08/0009 00:00:00.000000,1,102,95,95,1924,2,3 o 4 Personas,4,2,2,0,6,0,3,0,0,0,0,0,0,0,0,2,1,1,2,2,1,SI,324.5889049133
9831,8049,Centro,5,1,1,2,Montevideo,1,1,08/09/2009 00:00:00.000000,1,5,69,69,1939,2,1 Persona,1,0,12,0,6,0,3,0,0,2,0,0,0,0,PROFESORA DE CORTE Y CONFECCION,2,1,2,2,2,1,SI,1117.2647044218
