,PARTIDO,fraccion,radio,hogar,LOCALIDA,CANPER,CANPERM3,CANPEREV,TIPOVIVI,COCHERA,AUTO,BICICLET,CICLOMO,MOTO,CANAUTOS,OTIPOVIV,z_cocherasino,z_tieneciclomo,z_tienemoto,z_tieneauto,wt1,z_gastoco2,z_gastoma2,z_Quintil_ing_per_capita_AD_EQUIV,IDH
3668,Avellaneda,18.0,15.0,010,WILDE,3.0,3.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,176.90672302246094,0.0,0.0,5.0,6581.0
3669,Merlo,12.0,6.0,025,MERLO,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,189.2997283935547,0.0,0.0,5.0,6582.0
3670,E. Echeverria,1.0,40.0,030,LUIS GUILLON,3.0,3.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,1.0,,No,No,No,Si,114.6077651977539,264.375,260.921132457027,4.0,6583.0
3671,Jose C. Paz,5.0,17.0,023,JOSE C PAZ,3.0,3.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,95.35437774658203,0.0,0.0,4.0,6584.0
3672,Hurlingham,8.0,5.0,020,VILLA TESSEI,3.0,3.0,0.0,Casa,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,85.98844146728516,0.0,0.0,5.0,6585.0
3673,Lomas de Zamora,1.0,8.0,029,LOMAS DE ZAMORA,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,203.3627166748047,0.0,0.0,3.0,6586.0
3674,Tres de Febrero,16.0,6.0,023,CIUDADELA,1.0,1.0,0.0,Departamento,0.0,Si,1.0,No tiene,1.0,No tiene,,No,No,Si,No,234.89268493652344,160.0,58.8313953488372,3.0,6587.0
3675,Lomas de Zamora,1.0,8.0,025,LOMAS DE ZAMORA,2.0,2.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,154.9744873046875,229.886363636364,208.979591836735,3.0,6588.0
3676,Cap. Fed. DE 08,6.0,2.0,009,ALMAGRO,2.0,2.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,292.5014343261719,330.0,441.921487603306,5.0,6589.0
3677,E. Echeverria,1.0,40.0,002,LUIS GUILLON,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,110.29228210449219,150.0,200.0,3.0,6590.0
3678,Merlo,7.0,13.0,002,MERLO,2.0,2.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,123.61138153076172,0.0,0.0,1.0,6591.0
3679,Jose C. Paz,5.0,17.0,028,JOSE C PAZ,4.0,4.0,0.0,Casa,1.0,Si,1.0,No tiene,No tiene,1.0,,Si,No,No,Si,102.72772979736328,313.061224489796,149.479338842975,2.0,6592.0
