,PARTIDO,fraccion,radio,hogar,LOCALIDA,CANPER,CANPERM3,CANPEREV,TIPOVIVI,COCHERA,AUTO,BICICLET,CICLOMO,MOTO,CANAUTOS,OTIPOVIV,z_cocherasino,z_tieneciclomo,z_tienemoto,z_tieneauto,wt1,z_gastoco2,z_gastoma2,z_Quintil_ing_per_capita_AD_EQUIV,IDH
0,Moron,6.0,7.0,021,HAEDO,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,134.119873046875,229.886363636364,260.921132457027,3.0,1.0
1,La Matanza,1.0,8.0,030,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,182.8368682861328,0.0,0.0,4.0,2.0
2,La Matanza,1.0,8.0,031,RAMOS MEJIA,2.0,2.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,140.8864288330078,0.0,0.0,3.0,3.0
3,La Matanza,1.0,8.0,011,RAMOS MEJIA,3.0,3.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,115.07070922851562,0.0,0.0,2.0,4.0
4,La Matanza,1.0,9.0,041,RAMOS MEJIA,3.0,2.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,1566.48681640625,0.0,0.0,1.0,5.0
5,La Matanza,15.0,7.0,011,RAMOS MEJIA,3.0,3.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,791.0789794921875,0.0,0.0,4.0,6.0
6,La Matanza,1.0,8.0,021,RAMOS MEJIA,1.0,1.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,185.97396850585938,280.285714285714,149.479338842975,5.0,7.0
7,La Matanza,1.0,8.0,041,RAMOS MEJIA,3.0,3.0,0.0,Departamento,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,148.51979064941406,0.0,0.0,1.0,8.0
8,E. Echeverria,3.0,4.0,010,MONTE GRANDE,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,212.81211853027344,0.0,0.0,2.0,9.0
9,Alte. Brown,2.0,2.0,051,JOSE MARMOL,4.0,4.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,325.4640808105469,400.0,260.921132457027,1.0,10.0
10,Alte. Brown,2.0,2.0,012,JOSE MARMOL,3.0,3.0,0.0,Casa,1.0,Si,1.0,No tiene,No tiene,1.0,,Si,No,No,Si,348.04766845703125,286.09375,441.921487603306,2.0,11.0
11,Alte. Brown,2.0,2.0,040,JOSE MARMOL,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,348.1670227050781,298.493150684931,260.921132457027,3.0,12.0
12,Vicente Lopez,2.0,8.0,020,OLIVOS,1.0,1.0,0.0,Departamento,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,368.46832275390625,0.0,0.0,5.0,13.0
13,Vicente Lopez,2.0,8.0,023,OLIVOS,1.0,1.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,355.5296936035156,246.551724137931,441.921487603306,3.0,14.0
14,Vicente Lopez,2.0,8.0,030,OLIVOS,1.0,1.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,349.7451477050781,239.5,441.921487603306,2.0,15.0
15,Vicente Lopez,2.0,8.0,031,OLIVOS,1.0,1.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,2.0,,Si,No,No,Si,356.5836181640625,506.782608695652,250.0,3.0,16.0
16,Vicente Lopez,2.0,8.0,040,OLIVOS,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,356.5836181640625,0.0,0.0,5.0,17.0
17,La Matanza,15.0,6.0,063,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,403.4335021972656,337.058823529412,441.921487603306,5.0,18.0
18,Vicente Lopez,2.0,9.0,020,OLIVOS,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,921.1708374023438,0.0,0.0,5.0,19.0
19,Vicente Lopez,2.0,9.0,033,OLIVOS,3.0,3.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,679.481689453125,297.230769230769,208.979591836735,4.0,20.0
20,Vicente Lopez,1.0,1.0,011,LA LUCILA,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,467.9913024902344,229.886363636364,441.921487603306,4.0,21.0
21,Vicente Lopez,1.0,1.0,020,LA LUCILA,4.0,3.0,0.0,Casa,1.0,Si,2.0,No tiene,No tiene,2.0,,Si,No,No,Si,453.7972106933594,417.391304347826,683.881578947368,5.0,22.0
22,La Matanza,15.0,6.0,031,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,366.35986328125,0.0,0.0,4.0,23.0
23,La Matanza,15.0,6.0,050,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,366.35986328125,0.0,0.0,1.0,24.0
24,La Matanza,15.0,6.0,062,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,394.504150390625,305.825,441.921487603306,4.0,25.0
25,Alte. Brown,2.0,3.0,010,JOSE MARMOL,5.0,4.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,163.52635192871094,0.0,0.0,1.0,26.0
26,Alte. Brown,2.0,3.0,011,JOSE MARMOL,2.0,2.0,0.0,Casa,1.0,No,1.0,No tiene,No tiene,No tiene,,Si,No,No,No,174.08351135253906,0.0,0.0,5.0,27.0
27,Alte. Brown,2.0,3.0,021,JOSE MARMOL,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,2.0,,Si,No,No,Si,170.58958435058594,300.0,683.881578947368,3.0,28.0
28,Alte. Brown,3.0,12.0,012,JOSE MARMOL,2.0,2.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,324.17755126953125,0.0,0.0,2.0,29.0
29,Alte. Brown,3.0,13.0,012,JOSE MARMOL,5.0,5.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,1.0,,No,No,No,Si,171.1748046875,389.230769230769,441.921487603306,2.0,30.0
30,Alte. Brown,2.0,3.0,030,JOSE MARMOL,2.0,2.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,147.6163330078125,0.0,0.0,4.0,31.0
31,Alte. Brown,2.0,3.0,031,JOSE MARMOL,3.0,3.0,0.0,Casa,1.0,Si,2.0,No tiene,No tiene,1.0,,Si,No,No,Si,181.88436889648438,327.454545454545,441.921487603306,5.0,32.0
32,Alte. Brown,3.0,13.0,020,JOSE MARMOL,4.0,4.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,185.4354705810547,373.855263157895,260.921132457027,5.0,33.0
33,Alte. Brown,2.0,3.0,040,JOSE MARMOL,3.0,3.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,181.24407958984375,0.0,0.0,2.0,34.0
34,Alte. Brown,3.0,12.0,021,JOSE MARMOL,4.0,4.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,337.8191223144531,0.0,0.0,1.0,35.0
35,Alte. Brown,2.0,3.0,041,JOSE MARMOL,3.0,3.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,1.0,,No,No,No,Si,159.33932495117188,327.454545454545,441.921487603306,5.0,36.0
36,Alte. Brown,2.0,3.0,050,JOSE MARMOL,5.0,5.0,0.0,Casa,1.0,Si,3.0,No tiene,No tiene,2.0,,Si,No,No,Si,198.64727783203125,1400.0,683.881578947368,5.0,37.0
37,Alte. Brown,3.0,12.0,022,JOSE MARMOL,1.0,1.0,0.0,Casa,0.0,No,2.0,No tiene,No tiene,No tiene,,No,No,No,No,440.2541198730469,0.0,0.0,1.0,38.0
38,Alte. Brown,3.0,13.0,021,JOSE MARMOL,4.0,4.0,0.0,Casa,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,154.04086303710938,0.0,0.0,1.0,39.0
39,Vicente Lopez,1.0,12.0,010,LA LUCILA,5.0,5.0,0.0,Casa,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,215.49871826171875,0.0,0.0,1.0,40.0
40,Vicente Lopez,1.0,12.0,011,LA LUCILA,1.0,1.0,0.0,Casa,1.0,Si,2.0,No tiene,No tiene,1.0,,Si,No,No,Si,269.8460693359375,337.058823529412,260.921132457027,5.0,41.0
41,Vicente Lopez,1.0,12.0,013,LA LUCILA,3.0,3.0,0.0,Casa,0.0,Si,2.0,No tiene,No tiene,1.0,,No,No,No,Si,253.4307403564453,297.868852459016,441.921487603306,4.0,42.0
42,Vicente Lopez,1.0,12.0,021,LA LUCILA,2.0,2.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,170.9713897705078,0.0,0.0,4.0,43.0
43,Vicente Lopez,1.0,12.0,033,LA LUCILA,2.0,2.0,0.0,Casa,1.0,Si,1.0,No tiene,No tiene,2.0,,Si,No,No,Si,233.11737060546875,933.333333333333,450.0,5.0,44.0
44,La Matanza,1.0,8.0,020,RAMOS MEJIA,3.0,2.0,0.0,Departamento,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,139.23175048828125,0.0,0.0,2.0,45.0
45,Vicente Lopez,1.0,12.0,043,LA LUCILA,4.0,4.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,2.0,,No,No,No,Si,218.4249725341797,431.25,509.962962962963,3.0,46.0
46,Alte. Brown,3.0,13.0,030,JOSE MARMOL,2.0,2.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,173.44322204589844,0.0,0.0,1.0,47.0
47,Alte. Brown,3.0,13.0,041,JOSE MARMOL,7.0,6.0,0.0,Casa,0.0,Si,No tiene,No tiene,1.0,No tiene,,No,No,Si,No,211.37828063964844,79.7959183673469,58.8313953488372,1.0,48.0
48,La Matanza,1.0,8.0,042,RAMOS MEJIA,2.0,2.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,144.40322875976562,330.0,441.921487603306,5.0,49.0
49,Alte. Brown,3.0,13.0,051,JOSE MARMOL,3.0,3.0,0.0,Casa,0.0,Si,1.0,No tiene,1.0,No tiene,,No,No,Si,No,174.02383422851562,50.0,58.8313953488372,5.0,50.0
50,La Matanza,15.0,7.0,022,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,915.8997192382812,0.0,0.0,5.0,51.0
51,Cap. Fed. DE 16,3.0,1.0,040,VILLA PUEYRREDON,1.0,1.0,0.0,"Dep. ""tipo casa"" (PH) o ""de pasillo""",0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,327.8804016113281,337.058823529412,260.921132457027,5.0,52.0
52,Alte. Brown,3.0,13.0,061,JOSE MARMOL,3.0,3.0,0.0,Casa,0.0,No,2.0,No tiene,No tiene,No tiene,,No,No,No,No,174.02383422851562,0.0,0.0,3.0,53.0
53,La Matanza,1.0,8.0,050,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,189.49075317382812,0.0,0.0,4.0,54.0
54,Cap. Fed. DE 16,7.0,10.0,012,VILLA DEVOTO,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,2.0,,Si,No,No,Si,253.46035766601562,300.0,683.881578947368,3.0,55.0
55,Cap. Fed. DE 16,7.0,10.0,030,VILLA DEVOTO,2.0,2.0,0.0,Casa,1.0,Si,No tiene,1.0,No tiene,1.0,,Si,Si,No,Si,253.46035766601562,200.0,460.0,5.0,56.0
56,Cap. Fed. DE 16,7.0,1.0,012,VILLA DEVOTO,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,288.2860107421875,0.0,0.0,3.0,57.0
57,Cap. Fed. DE 16,3.0,2.0,011,VILLA PUEYRREDON,4.0,4.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,2.0,,Si,No,No,Si,337.5501403808594,431.25,683.881578947368,3.0,58.0
58,Cap. Fed. DE 16,3.0,2.0,021,VILLA PUEYRREDON,3.0,3.0,1.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,264.1593017578125,280.961538461538,260.921132457027,3.0,59.0
59,La Matanza,1.0,8.0,061,RAMOS MEJIA,2.0,2.0,0.0,Departamento,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,144.40322875976562,0.0,0.0,5.0,60.0
60,Cap. Fed. DE 04,2.0,2.0,030,SAN TELMO,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,286.81817626953125,0.0,0.0,4.0,61.0
61,La Matanza,1.0,8.0,053,RAMOS MEJIA,5.0,5.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,161.15936279296875,268.8,260.921132457027,3.0,62.0
62,Cap. Fed. DE 04,2.0,2.0,040,SAN TELMO,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,348.7629699707031,0.0,0.0,5.0,63.0
63,Cap. Fed. DE 04,1.0,10.0,021,SAN TELMO,2.0,2.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,283.88519287109375,0.0,0.0,4.0,64.0
64,Cap. Fed. DE 16,3.0,2.0,023,VILLA PUEYRREDON,2.0,2.0,0.0,"Dep. ""tipo casa"" (PH) o ""de pasillo""",0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,266.88726806640625,0.0,0.0,2.0,65.0
65,Cap. Fed. DE 16,3.0,2.0,032,VILLA PUEYRREDON,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,2.0,,Si,No,No,Si,217.54898071289062,512.5,1100.0,3.0,66.0
66,Cap. Fed. DE 04,1.0,10.0,041,SAN TELMO,3.0,3.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,282.2127685546875,0.0,0.0,1.0,67.0
67,E. Echeverria,3.0,4.0,020,LUIS GUILLON,2.0,2.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,133.4274444580078,220.232558139535,149.479338842975,1.0,68.0
68,Cap. Fed. DE 04,1.0,10.0,031,SAN TELMO,8.0,7.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,2.0,,No,No,No,Si,553.0701293945312,512.5,469.166666666667,1.0,69.0
69,E. Echeverria,3.0,4.0,021,LUIS GUILLON,5.0,5.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,179.96780395507812,0.0,0.0,2.0,70.0
70,E. Echeverria,3.0,4.0,040,LUIS GUILLON,3.0,3.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,1.0,,No,No,No,Si,182.69664001464844,225.0,149.479338842975,1.0,71.0
71,E. Echeverria,3.0,10.0,011,MONTE GRANDE,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,209.13893127441406,298.493150684931,441.921487603306,3.0,72.0
72,E. Echeverria,3.0,4.0,050,LUIS GUILLON,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,212.81211853027344,0.0,0.0,3.0,73.0
73,E. Echeverria,3.0,4.0,051,LUIS GUILLON,4.0,4.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,176.9691619873047,0.0,0.0,1.0,74.0
74,E. Echeverria,2.0,25.0,010,LUIS GUILLON,5.0,5.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,284.7428894042969,0.0,0.0,1.0,75.0
75,E. Echeverria,2.0,23.0,020,MONTE GRANDE,3.0,3.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,300.8914794921875,327.454545454545,149.479338842975,5.0,76.0
76,E. Echeverria,3.0,10.0,020,MONTE GRANDE,4.0,4.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,236.83779907226562,0.0,0.0,2.0,77.0
77,E. Echeverria,2.0,25.0,012,LUIS GUILLON,3.0,3.0,0.0,Casa,0.0,Si,No tiene,No tiene,2.0,No tiene,,No,No,Si,No,264.84228515625,242.857142857143,129.285714285714,4.0,78.0
78,E. Echeverria,3.0,10.0,030,MONTE GRANDE,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,242.62940979003906,231.388888888889,260.921132457027,2.0,79.0
79,E. Echeverria,2.0,25.0,023,LUIS GUILLON,3.0,3.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,252.1722869873047,0.0,0.0,1.0,80.0
80,Cap. Fed. DE 01,12.0,2.0,020,RECOLETA,2.0,2.0,0.0,Departamento,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,311.5948486328125,0.0,0.0,3.0,81.0
81,E. Echeverria,2.0,25.0,051,LUIS GUILLON,2.0,2.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,253.7793426513672,0.0,0.0,2.0,82.0
82,Cap. Fed. DE 01,12.0,2.0,030,RECOLETA,2.0,2.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,287.6405944824219,229.886363636364,441.921487603306,4.0,83.0
83,E. Echeverria,2.0,25.0,032,LUIS GUILLON,5.0,5.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,301.63421630859375,310.714285714286,260.921132457027,5.0,84.0
84,E. Echeverria,2.0,23.0,033,MONTE GRANDE,2.0,2.0,0.0,Casa,1.0,No,1.0,No tiene,No tiene,No tiene,,Si,No,No,No,275.3611145019531,0.0,0.0,3.0,85.0
85,Cap. Fed. DE 01,12.0,5.0,010,RECOLETA,2.0,2.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,287.6405944824219,0.0,0.0,5.0,86.0
86,Cap. Fed. DE 01,12.0,5.0,020,RECOLETA,4.0,4.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,387.85321044921875,0.0,0.0,5.0,87.0
87,Cap. Fed. DE 04,2.0,5.0,011,SAN TELMO,5.0,4.0,0.0,Departamento,0.0,No,3.0,No tiene,No tiene,No tiene,,No,No,No,No,425.0415344238281,0.0,0.0,3.0,88.0
88,Cap. Fed. DE 04,2.0,5.0,020,SAN TELMO,1.0,1.0,0.0,Departamento,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,270.46734619140625,0.0,0.0,3.0,89.0
89,Cap. Fed. DE 04,2.0,5.0,032,SAN TELMO,1.0,1.0,0.0,Departamento,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,348.7629699707031,0.0,0.0,4.0,90.0
90,E. Echeverria,3.0,10.0,040,MONTE GRANDE,3.0,3.0,0.0,Casa,1.0,No,1.0,No tiene,No tiene,No tiene,,Si,No,No,No,197.8613739013672,0.0,0.0,4.0,91.0
91,Cap. Fed. DE 19,1.0,15.0,010,FLORES,3.0,3.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,212.8234405517578,0.0,0.0,2.0,92.0
92,E. Echeverria,3.0,10.0,051,MONTE GRANDE,3.0,3.0,0.0,Casa,1.0,Si,1.0,No tiene,No tiene,2.0,,Si,No,No,Si,252.1722869873047,490.0,338.620689655172,2.0,93.0
93,Cap. Fed. DE 04,2.0,5.0,042,SAN TELMO,5.0,5.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,264.8128967285156,0.0,0.0,3.0,94.0
94,E. Echeverria,2.0,23.0,041,MONTE GRANDE,5.0,5.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,297.9863586425781,389.230769230769,441.921487603306,2.0,95.0
95,Cap. Fed. DE 19,1.0,13.0,010,FLORES,5.0,5.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,165.30734252929688,0.0,0.0,1.0,96.0
96,E. Echeverria,2.0,23.0,043,MONTE GRANDE,3.0,3.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,327.2056884765625,0.0,0.0,1.0,97.0
97,Cap. Fed. DE 19,1.0,15.0,020,FLORES,4.0,2.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,176.1555938720703,0.0,0.0,1.0,98.0
98,Cap. Fed. DE 19,1.0,13.0,020,FLORES,8.0,8.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,3.0,No tiene,No tiene,No tiene,,No,No,No,No,184.3665771484375,0.0,0.0,1.0,99.0
99,Cap. Fed. DE 19,1.0,15.0,030,FLORES,4.0,2.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,262.3503723144531,0.0,0.0,1.0,100.0
100,Cap. Fed. DE 19,1.0,15.0,040,FLORES,7.0,7.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,3.0,No tiene,No tiene,No tiene,,No,No,No,No,154.03030395507812,0.0,0.0,1.0,101.0
101,Cap. Fed. DE 19,1.0,13.0,030,FLORES,5.0,5.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,203.08624267578125,0.0,0.0,2.0,102.0
102,Cap. Fed. DE 19,1.0,13.0,040,FLORES,5.0,4.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,188.24343872070312,0.0,0.0,1.0,103.0
103,Cap. Fed. DE 19,1.0,13.0,050,FLORES,7.0,7.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,235.14749145507812,0.0,0.0,1.0,104.0
104,Moron,6.0,6.0,022,HAEDO,2.0,2.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,1.0,,No,No,No,Si,188.46360778808594,270.357142857143,441.921487603306,5.0,105.0
105,Moron,6.0,6.0,030,HAEDO,3.0,3.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,192.9990997314453,0.0,0.0,5.0,106.0
106,Cap. Fed. DE 19,1.0,13.0,060,FLORES,4.0,4.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,178.96360778808594,0.0,0.0,2.0,107.0
107,Moron,6.0,6.0,032,HAEDO,4.0,4.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,1.0,,No,No,No,Si,163.43099975585938,373.855263157895,441.921487603306,4.0,108.0
108,Cap. Fed. DE 19,1.0,13.0,070,FLORES,3.0,2.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,210.5538787841797,0.0,0.0,3.0,109.0
109,Moron,6.0,6.0,033,HAEDO,1.0,1.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,2.0,,No,No,No,Si,235.80441284179688,490.0,683.881578947368,1.0,110.0
110,Moron,6.0,7.0,010,HAEDO,1.0,1.0,0.0,Casa,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,210.94482421875,0.0,0.0,4.0,111.0
111,Cap. Fed. DE 19,1.0,13.0,080,FLORES,2.0,2.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,130.01016235351562,0.0,0.0,5.0,112.0
112,Cap. Fed. DE 19,1.0,15.0,050,FLORES,6.0,4.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,206.41798400878906,0.0,0.0,1.0,113.0
113,Cap. Fed. DE 19,1.0,13.0,090,FLORES,7.0,7.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,163.2004852294922,0.0,0.0,1.0,114.0
114,Moron,6.0,7.0,012,HAEDO,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,138.7444305419922,231.388888888889,441.921487603306,2.0,115.0
115,Moron,6.0,7.0,030,HAEDO,3.0,3.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,197.1757049560547,297.230769230769,260.921132457027,4.0,116.0
116,Moron,6.0,7.0,031,HAEDO,5.0,5.0,0.0,Casa,1.0,No,2.0,No tiene,No tiene,No tiene,,Si,No,No,No,181.31399536132812,0.0,0.0,3.0,117.0
117,Moron,5.0,13.0,023,HAEDO,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,126.08277893066406,298.493150684931,441.921487603306,3.0,118.0
118,Moron,6.0,7.0,041,HAEDO,1.0,1.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,218.98191833496094,0.0,0.0,4.0,119.0
119,Cap. Fed. DE 19,1.0,15.0,060,FLORES,3.0,3.0,0.0,Casilla/rancho en villa de emergencia,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,167.75401306152344,0.0,0.0,2.0,120.0
120,Moron,5.0,13.0,033,HAEDO,2.0,2.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,134.119873046875,0.0,0.0,3.0,121.0
121,Moron,5.0,13.0,041,HAEDO,2.0,2.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,176.2430419921875,0.0,0.0,3.0,122.0
122,Cap. Fed. DE 16,7.0,1.0,030,VILLA DEVOTO,3.0,3.0,0.0,Casa,0.0,No,3.0,No tiene,No tiene,No tiene,,No,No,No,No,444.0201416015625,0.0,0.0,3.0,123.0
123,Moron,5.0,12.0,012,HAEDO,3.0,3.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,197.1757049560547,286.09375,441.921487603306,2.0,124.0
124,Moron,5.0,12.0,013,HAEDO,5.0,4.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,207.29867553710938,61.6666666666667,231.008771929825,3.0,125.0
125,Moron,5.0,12.0,022,HAEDO,4.0,4.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,181.11383056640625,373.855263157895,260.921132457027,4.0,126.0
