ZonaOrigen,ZonaDestino,n_viajes,cumsum_viajes
128,140,25641.879816114004,0.0028261352481466205
132,390,19052.464280639997,0.004926014089078309
770,760,15991.995547140967,0.0066885815228269405
52,294,15130.798858026003,0.008356231644110614
357,612,13248.526887246,0.00981642602496621
685,712,13095.338960024685,0.011259736706037882
566,562,11975.39962512,0.01257961259789527
575,558,11975.39962512,0.01389948848975266
291,292,11974.259664945284,0.015219238740211902
552,543,11330.502242700146,0.016468036878138435
727,712,11328.857888246477,0.01771665378254718
46,20,11059.708159461,0.01893560618727787
763,760,10243.945458622356,0.020064648813962
352,616,10225.14278366,0.02119161909248556
352,4,10076.218265967,0.02230217556547755
758,760,8892.325514689,0.02328224858490038
150,263,8652.30786616,0.024235867914439723
579,19,7934.953575447,0.025110423608203064
544,556,7740.47154634693,0.025963544347840095
761,760,7563.330505949903,0.0267971413808788
848,849,7386.627370566488,0.027611262971284342
617,613,7282.406184894209,0.02841389776085686
202,205,7260.827074686001,0.02921415419578376
245,244,7225.567220776,0.03001052444464731
163,600,7034.0,0.030785780996741854
763,770,7032.093254962822,0.031560827395782205
341,340,7026.586148122904,0.03233526682572094
710,690,6952.231279503542,0.033101511188972546
773,760,6889.065419992847,0.03386079368892384
201,225,6882.507363318526,0.03461935338870372
320,680,6734.680185216001,0.03536162022689679
682,666,6711.84823802304,0.036101370628260396
480,19,6629.450807322,0.0368320395471067
706,719,6583.183476715588,0.03755760908420711
284,268,6461.973065040001,0.03826981934268461
849,848,6446.1094157888865,0.03898028117949279
623,236,6403.95335056955,0.039686096760149156
229,225,6357.9942528005995,0.04038684693112771
158,18,6320.743136577999,0.04108349144786622
136,55,6192.498867896001,0.04176600144518986
136,104,6171.4806978960005,0.042446194912231214
697,712,6123.449273210681,0.043121094566833884
612,618,6113.190664079848,0.04379486356264439
327,330,6108.267611544888,0.04446808996125074
715,712,6087.363599228076,0.04513901241153272
154,506,5998.074539958,0.045800093814298413
407,405,5904.287800952737,0.04645083845506335
450,643,5749.081082406,0.04708447689374092
459,640,5694.2405115289475,0.0477120710458258
489,474,5675.125301339853,0.048337558403491604
389,396,5609.763314489999,0.048955841850357965
150,508,5605.317002748,0.04957363524429419
612,616,5592.227544998816,0.05018998597575053
247,248,5550.624739647629,0.050801751428925096
689,712,5540.462825018729,0.051412396880550354
56,517,5401.0,0.052007671352808336
386,383,5394.8713482374715,0.052602270352016214
398,405,5362.831929088098,0.05319333810732008
544,543,5302.732075288624,0.05377778192099216
680,681,5285.182557324,0.054360291503957936
848,405,5232.9650048725125,0.05493704589788869
582,167,5226.0,0.055513032639606934
701,700,5181.497500791809,0.056084114511536186
770,763,5089.100103273847,0.056645012748574586
461,453,5002.49924187,0.057196366219445745
523,14,4975.50342768679,0.05774474433037595
706,692,4933.614731782207,0.05828850565342462
385,386,4894.794273856392,0.058827988356290994
247,299,4888.0,0.05936672222416676
543,556,4859.666545478685,0.059902333303265005
65,64,4846.726770365865,0.06043651821724541
9,10,4823.658775310739,0.060968160678238875
292,307,4823.1957496883915,0.06149975210658413
779,760,4811.793228423976,0.06203008679917154
439,18,4810.96210600647,0.06256032988910047
379,405,4792.494406215338,0.06308853755035934
499,501,4767.193687569786,0.06361395667765424
514,498,4733.929567298555,0.06413570957987236
848,392,4729.62850259,0.06465698843764973
387,405,4721.964522194233,0.06517742260520576
247,208,4719.208835279184,0.06569755305306653
859,860,4714.301637161256,0.06621714265112728
848,14,4702.046,0.06673538148674713
703,712,4701.736175782743,0.06725358617490401
150,151,4698.3274441465155,0.06777141516764786
386,388,4687.226843387389,0.06828802070098443
98,166,4640.068039447266,0.06879942859830403
671,673,4630.930883293218,0.06930982943844763
388,594,4615.059663925715,0.06981848102257696
769,760,4613.214553174455,0.07032692924671206
118,760,4558.964223653622,0.07082939823806153
388,405,4541.278643119029,0.07132991800248648
436,428,4540.7377129199995,0.07183037814796331
579,157,4507.078002474001,0.0723271284681537
630,50,4493.8149287609995,0.07282241699067606
478,472,4452.830531744407,0.07331318839316418
76,501,4440.383326344,0.07380258791940239
330,331,4437.724906439796,0.0742916944462876
247,468,4395.14415612,0.07477610791009655
582,154,4385.63568996,0.07525947339257325
725,712,4368.599451467689,0.07574096121575025
582,594,4359.987081437,0.07622149982137033
386,405,4349.781722788821,0.0767009136372323
654,658,4332.875197149434,0.07717846409017488
387,20,4326.3231712912875,0.07765529240763608
582,15,4321.760916402,0.07813161789342322
468,486,4293.45198375033,0.07860482329312549
209,717,4288.231633582,0.07907745332878566
386,399,4283.613035611794,0.07954957432288512
407,410,4273.692892339643,0.08002060196241118
500,499,4223.9961549,0.08048615224604898
665,657,4205.072057510291,0.08094961679888016
487,476,4199.5943456986615,0.08141247762240052
722,34,4191.445288308,0.08187444029264597
81,348,4172.0,0.08233425978871342
136,6,4164.0,0.0827931975599562
136,123,4133.9821031599995,0.08324882689059544
497,498,4076.397559309009,0.08369810950600581
514,513,4061.3707552661217,0.08414573593314617
150,499,4041.15116296251,0.08459113384572667
496,250,4034.10306213516,0.08503575494762387
264,660,4030.994840287397,0.08548003347497561
799,797,4030.6167781812787,0.08592427033398432
697,18,4016.0010894678035,0.08636689631604698
774,760,4003.131220119157,0.08680810383769777
209,225,4002.552945489623,0.08724924762446151
710,722,3968.3601870588864,0.0876866228357337
387,500,3959.216279686822,0.08812299024574032
154,20,3953.953994059495,0.08855877766976293
289,306,3887.0824755572553,0.08898719480904464
331,330,3882.343734320067,0.08941508966510306
526,357,3876.8658417195597,0.08984238077192487
55,16,3868.07571164855,0.09026870306925971
582,156,3834.0,0.0906912696914847
780,760,3833.993762131823,0.09111383562619926
283,426,3833.905517163013,0.09153639183494137
489,490,3829.271314535359,0.09195843728224608
685,255,3815.8072922054416,0.09237899878420974
161,162,3811.847806444297,0.09279912388906233
615,19,3810.0,0.0932190453368133
260,660,3800.700994517213,0.09363794188906688
618,19,3798.3294082223624,0.09405657705550671
456,544,3747.8465487499398,0.09446964822314438
201,196,3743.6188569946653,0.09488225343318558
163,19,3737.8989,0.095294228214717
207,14,3735.9118840399997,0.09570598399608606
671,295,3735.9118840399997,0.0961177397774551
327,593,3720.0,0.09652774182092848
369,18,3717.6098049999996,0.09693748042761843
113,760,3717.202569430191,0.09734717415059448
560,563,3702.2955771720003,0.09775522489042861
