zona_o,zona_d,n_viajes,cumsum_viajes
109.0,111.0,4535.31608440928,0.006564432642141535
126.0,127.0,3482.806766036433,0.011605459550901918
36.0,35.0,2360.8186594126473,0.015022516880885947
111.0,109.0,2277.486751010563,0.018318959310063603
119.0,91.0,2231.5645661958215,0.021548933805499517
109.0,23.0,2193.0568614130752,0.02472317211198076
71.0,73.0,2172.577998653986,0.02786776923961852
79.0,18.0,2091.4059112815285,0.03089487759909517
107.0,105.0,1990.4813099688522,0.03377590733143279
128.0,57.0,1987.539390717345,0.036652678919375244
124.0,126.0,1796.9832896802643,0.0392536389284716
47.0,48.0,1780.6230326026582,0.04183091904324632
35.0,5.0,1768.242931825668,0.0443902801560946
124.0,109.0,1718.2553558655704,0.0468772890735883
59.0,87.0,1606.3627753731587,0.049202344271842266
119.0,100.0,1514.3536534635673,0.05139422513957616
124.0,1.0,1509.597856346415,0.05357922244963642
109.0,112.0,1505.1040206868972,0.05575771536596916
59.0,2.0,1480.6490917048204,0.057900812131056106
56.0,57.0,1460.6638127864749,0.06001498213230737
127.0,100.0,1433.3178214415793,0.062089571448359374
117.0,82.0,1431.476520671644,0.06416149565912363
133.0,5.0,1424.526402889111,0.0662233602446734
109.0,122.0,1409.5028377367853,0.06826347966855158
68.0,81.0,1404.3150313212877,0.07029609024296013
123.0,124.0,1395.5439124967868,0.07231600546876496
111.0,100.0,1390.7531376211818,0.07432898650996407
124.0,5.0,1374.5095461289388,0.07631845651902501
88.0,5.0,1372.83340170422,0.07830550047068006
60.0,54.0,1364.4427871107396,0.08028039981690964
20.0,1.0,1356.2053449860832,0.08224337626009023
109.0,115.0,1347.186149366142,0.08419329828743045
109.0,85.0,1347.186149366142,0.08614322031477067
109.0,93.0,1347.186149366142,0.0880931423421109
109.0,98.0,1347.186149366142,0.09004306436945111
109.0,105.0,1347.186149366142,0.09199298639679133
35.0,62.0,1346.0401964138284,0.09394124976774984
123.0,100.0,1293.3970882800336,0.09581331731663428
45.0,2.0,1285.9056770124862,0.09767454177018753
119.0,32.0,1280.8560018873127,0.09952845730599237
93.0,92.0,1276.9508681464747,0.10137672053732205
58.0,53.0,1231.4067708576767,0.10315906308014067
36.0,83.0,1227.61902021362,0.10493592321919616
35.0,8.0,1227.4777086804802,0.10671257882343566
61.0,5.0,1223.4579620739607,0.10848341623213026
59.0,9.0,1213.375558202184,0.11023966033357674
59.0,83.0,1213.375558202184,0.11199590443502322
61.0,82.0,1188.6272367802183,0.1137163277279622
27.0,79.0,1186.5053147346734,0.11543367974338037
43.0,45.0,1185.2306398823291,0.11714918678988058
115.0,109.0,1168.4513651590828,0.11884040745442752
47.0,43.0,1138.8419124449874,0.12048877129173358
133.0,36.0,1125.9933759646947,0.12211853811160905
100.0,83.0,1115.1429033164607,0.12373259991875574
47.0,44.0,1107.8699095567167,0.12533613476884936
5.0,6.0,1097.3964392186144,0.12692451028069968
35.0,73.0,1086.3506186566613,0.12849689803255565
119.0,109.0,1082.1979628352713,0.13006327521559607
122.0,93.0,1081.802594442347,0.13162908014101743
109.0,77.0,1071.7407158697974,0.1331803214675818
133.0,29.0,1066.3304748047458,0.13472373199197316
119.0,105.0,1062.9829051759398,0.13626229723216948
119.0,102.0,1062.9829051759398,0.13780086247236578
59.0,73.0,1053.0322341454207,0.13932502507589725
126.0,14.0,1045.1699235728438,0.14083780774312338
133.0,76.0,1034.9694384148484,0.1423358261918274
65.0,68.0,1031.7487236824468,0.14382918296656502
60.0,59.0,1022.5095102739365,0.145309166870932
31.0,5.0,1022.099616882572,0.14678855749414546
124.0,6.0,1013.9634820134476,0.14825617184679218
64.0,68.0,1001.0991920211404,0.14970516638031894
25.0,31.0,981.9349637544483,0.15112642254164543
25.0,27.0,976.9420793852664,0.15254045198436586
80.0,68.0,975.7325275805217,0.1539527307174992
61.0,57.0,975.4969600789461,0.15536466848939237
123.0,126.0,961.3616215452527,0.15675614672198301
123.0,94.0,961.3616215452527,0.15814762495457366
89.0,83.0,951.4174762213117,0.1595247099958304
61.0,54.0,946.2215988420171,0.16089427450567578
25.0,29.0,941.0496173310382,0.16225635307107467
77.0,68.0,939.7013975441644,0.16361648021835562
117.0,109.0,937.0876433017266,0.16497282420844347
56.0,73.0,932.9948113135852,0.16632324421894498
36.0,84.0,931.9096095211255,0.16767209350450973
15.0,14.0,930.4874127309366,0.16901888429737866
59.0,54.0,927.3185504770825,0.17036108846774312
117.0,119.0,919.7356574290376,0.17169231713172167
127.0,73.0,914.4826478767553,0.17301594257097835
127.0,14.0,912.2389004935146,0.17433632040228686
71.0,72.0,898.9992756405757,0.1756375351534623
133.0,1.0,892.7663778258919,0.17692972838615736
45.0,5.0,889.263118675276,0.1782168509890894
122.0,124.0,882.6168606288416,0.17949435377447048
53.0,73.0,880.0150399403458,0.18076809067532695
119.0,83.0,878.9213360127732,0.18204024454522605
119.0,92.0,878.9213360127732,0.18331239841512517
123.0,7.0,878.2274355842621,0.1845835479310744
59.0,53.0,873.9613126037284,0.1858485226454381
31.0,74.0,868.3153343379795,0.18710532535076546
8.0,7.0,859.5060299482072,0.18834937743756602
36.0,69.0,859.4626267259196,0.18959336670238816
65.0,73.0,854.6898665979901,0.1908304478572145
71.0,57.0,854.3537813813628,0.19206704256110213
101.0,68.0,851.3318715955678,0.19329926334201053
124.0,127.0,842.6994521595268,0.19451898952830374
88.0,1.0,841.3580464691435,0.1957367741592265
127.0,56.0,838.494615241462,0.1969504142495991
127.0,109.0,838.494615241462,0.19816405433997172
61.0,1.0,829.4750574391234,0.1993646394902799
117.0,72.0,826.3514823045156,0.20056070356682118
109.0,91.0,824.8639594648145,0.2017546145975101
61.0,6.0,823.3581139728637,0.2029463460620745
65.0,79.0,817.3891454959044,0.20412943802042127
77.0,82.0,807.4428590662247,0.2052981336883901
25.0,78.0,807.2011477362929,0.20646647950251967
44.0,45.0,797.0357213725008,0.2076201118423507
58.0,74.0,794.9790786644983,0.20877076739020645
133.0,83.0,794.693969451251,0.20992101026997217
12.0,13.0,789.8925254465172,0.2110643035225967
5.0,2.0,786.2201630270797,0.21220228138478514
27.0,26.0,785.9172936048413,0.21333982087269387
46.0,18.0,785.5104050623593,0.21447677142867805
46.0,45.0,785.5104050623593,0.21561372198466222
32.0,83.0,782.5963889337262,0.21674645478333057
20.0,19.0,779.8614382030987,0.21787522900457754
123.0,35.0,775.9704182742737,0.21899837134973107
45.0,44.0,774.3712781778593,0.22011919909381755
77.0,80.0,755.6701293658335,0.22121295872855457
57.0,73.0,754.6084292850809,0.22230518165481603
69.0,68.0,754.3594117166263,0.22339704415216266
45.0,9.0,753.8160418377696,0.22448812017401268
88.0,94.0,752.494373699411,0.22557728320869536
95.0,96.0,744.2896820290775,0.2266545707434532
31.0,4.0,744.261533385249,0.22773181753576377
124.0,93.0,743.6420588378954,0.22880816769840975
112.0,109.0,740.0549417554661,0.22987932585502374
56.0,53.0,734.6154204962158,0.2309426108292074
16.0,1.0,729.5851656046163,0.23199861499455787
