zona_o,zona_d,n_viajes,cumsum_viajes
126.0,127.0,5845.706924117699,0.004842485719641268
124.0,100.0,5340.441498593125,0.00926641802230628
111.0,100.0,4933.0413900322665,0.013352866897646715
109.0,111.0,4911.477839775333,0.017421452889072604
123.0,100.0,4593.90835562407,0.021226969638068343
124.0,123.0,4195.596311395106,0.02470253136003696
36.0,35.0,3880.6868670759395,0.027917227372025448
109.0,83.0,3707.9430910149526,0.03098882533281314
123.0,124.0,3534.7005649137823,0.033916912086219164
59.0,60.0,3517.9089392902024,0.03683108893816293
124.0,126.0,3442.2575513088423,0.039682597447213995
109.0,93.0,3438.6035544167485,0.042531079046432045
119.0,91.0,3356.778163659031,0.04531177786225164
127.0,100.0,3339.9906733039297,0.04807857020219613
127.0,109.0,3286.1278784192405,0.05080074350488219
133.0,128.0,3267.2505096963678,0.05350727911145184
35.0,5.0,3164.3667589253255,0.05612858754184603
124.0,127.0,3092.0628306546882,0.05869000060891299
123.0,127.0,3065.549252052536,0.061229450271480856
35.0,36.0,3054.0699179151466,0.06375939064589027
43.0,45.0,2778.0873611590296,0.0660607116920799
36.0,93.0,2743.664293840178,0.06833351724577537
6.0,35.0,2660.822760754614,0.07053769826078501
47.0,48.0,2567.3059399631456,0.07266441150754911
56.0,57.0,2566.787849071742,0.07479069557649509
58.0,61.0,2492.7455084806065,0.0768556442104602
59.0,61.0,2456.550229756068,0.07889060928168137
48.0,47.0,2368.0857110147476,0.08085229182706595
44.0,45.0,2367.30040141405,0.08281332383512865
112.0,109.0,2355.790425059091,0.08476482117153303
60.0,59.0,2323.829050965454,0.08668984224088576
47.0,43.0,2307.7986580518295,0.08860158400120502
122.0,124.0,2284.10867439945,0.0904937013757957
111.0,109.0,2277.486751010563,0.09238033325994638
117.0,91.0,2275.3417783651357,0.0942651882846788
25.0,31.0,2268.6098755110784,0.09614446671382407
35.0,16.0,2207.747313583378,0.09797332761591547
109.0,23.0,2193.0568614130752,0.09979001919344559
71.0,72.0,2190.5564451654755,0.10160463946802992
45.0,44.0,2168.609036740275,0.10340107887702146
61.0,58.0,2163.4521527663924,0.10519324640968983
83.0,95.0,2146.3646701383677,0.10697125895790809
46.0,48.0,2140.1618684072946,0.10874413320904878
123.0,91.0,2119.0409402041632,0.11049951123697184
112.0,100.0,2118.711896507226,0.11225461669060674
126.0,124.0,2101.70270207734,0.1139956320124238
117.0,79.0,2091.4059112815285,0.11572811764518287
112.0,111.0,2067.3617134969572,0.11744068546715816
59.0,53.0,1991.2665456851469,0.11909021732646108
36.0,84.0,1969.9406324989554,0.1207220831564192
71.0,73.0,1968.139908636293,0.12235245729688568
47.0,46.0,1966.8674763878034,0.12398177737578653
61.0,54.0,1965.3692682893268,0.12560985636418867
109.0,32.0,1962.1022076939948,0.1272352289743061
64.0,65.0,1959.0610437853766,0.12885808233517113
58.0,53.0,1923.7628003498469,0.1304516952223032
36.0,31.0,1869.8372596225242,0.1320006370945716
68.0,70.0,1866.6826988206612,0.13354696578150024
64.0,66.0,1827.4567450397303,0.135060800345222
87.0,88.0,1823.5109103669085,0.1365713662455805
20.0,49.0,1805.4177657315881,0.13806694408792355
101.0,90.0,1798.2118356461933,0.1395565526584594
88.0,5.0,1797.8824144616312,0.1410458883420027
101.0,88.0,1790.7457393682437,0.1425293121234144
57.0,56.0,1790.2843459868936,0.1440123536942758
118.0,117.0,1782.159658154226,0.14548866490979834
88.0,87.0,1781.7452771687465,0.146964632859052
122.0,100.0,1770.9158376409168,0.14843162988195818
4.0,25.0,1753.8477809763172,0.14988448801255702
36.0,34.0,1751.3044453803486,0.15133523928654063
124.0,109.0,1718.2553558655704,0.1527586132482334
107.0,105.0,1686.3344783534442,0.15415554448956445
41.0,40.0,1685.625063295798,0.1555518880633421
124.0,6.0,1683.9606464903027,0.15694685286211157
22.0,18.0,1679.456182260356,0.15833808623814788
45.0,43.0,1674.9017649244227,0.15972554681113454
126.0,100.0,1671.7873236960081,0.16111042743316423
88.0,94.0,1662.4929770116992,0.16248760877405022
20.0,19.0,1659.8216591586768,0.16386257723996256
3.0,24.0,1659.2590762680318,0.16523707967162968
65.0,66.0,1649.2525885590633,0.1666032928964543
30.0,31.0,1643.4699078457554,0.1679647158454169
109.0,112.0,1633.7570248773307,0.16931809280478716
133.0,129.0,1633.2431203844253,0.17067104405428168
127.0,91.0,1608.1360721128303,0.17200319704544823
123.0,126.0,1608.0601656852696,0.1733352871570014
59.0,87.0,1606.3627753731587,0.17466597117884564
19.0,21.0,1576.2306683838212,0.1759716942678733
25.0,27.0,1565.7537505274154,0.1772687384536025
102.0,100.0,1547.6834693473143,0.17855081352101967
55.0,53.0,1544.4798388131194,0.17983023475455256
45.0,2.0,1540.5885887542495,0.18110643254170225
119.0,100.0,1537.9097028411013,0.18238041118462403
109.0,31.0,1533.466399863784,0.18365070906977002
22.0,23.0,1515.6334781358319,0.18490623446119916
35.0,4.0,1515.2460049672752,0.1861614388763444
7.0,8.0,1512.7460814392168,0.18741457239670445
35.0,30.0,1510.45610170761,0.18866580893620444
35.0,1.0,1488.914745597738,0.18989920097704963
123.0,109.0,1487.3045315806198,0.1911312591435688
65.0,64.0,1481.7395816357073,0.19235870739874816
59.0,2.0,1480.6490917048204,0.19358525231033089
