zat_origen,zat_destino,n_viajes,cumsum_viajes
907.0,934.0,2815.6614629670376,0.0011495813662844262
721.0,300.0,2228.23460610386,0.00205932744782786
36.0,40.0,1999.4354135476979,0.0028756591427900598
569.0,94.0,1983.94259439467,0.0036856654124680826
909.0,806.0,1878.4894246046124,0.004452617145725192
912.0,816.0,1834.6832634522088,0.005201683651211988
190.0,457.0,1775.89295094788,0.005926747183094921
550.0,946.0,1768.12978727239,0.006648641161953764
786.0,782.0,1737.849239149222,0.007358172165241463
312.0,313.0,1734.815083928066,0.0080664643802904
932.0,375.0,1731.867816983108,0.008773553281941775
410.0,409.0,1670.058392933704,0.009455406563799182
909.0,1843.0,1639.9473323466686,0.010124966068643554
839.0,152.0,1604.33685427479,0.010779986488241227
91.0,67.0,1602.630479666138,0.011434310227332453
316.0,248.0,1562.68628069597,0.01207232550483083
527.0,409.0,1556.326527101205,0.012707744215120095
909.0,907.0,1508.5294962983874,0.013323648300978359
932.0,985.0,1504.475866571524,0.013937897366422734
675.0,354.0,1493.107633491812,0.014547504997132176
721.0,838.0,1485.489737402568,0.015154002384827798
907.0,1842.0,1435.010044366753,0.015739889867798375
115.0,593.0,1415.5262471565838,0.01631782248456367
932.0,776.0,1396.423732537895,0.01688795590560048
37.0,322.0,1382.663320201634,0.01745247121031819
37.0,223.0,1381.82243814565,0.018016643198783037
1028.0,89.0,1370.176028338112,0.01857606017821184
714.0,1050.0,1367.79324282375,0.01913450431134388
391.0,334.0,1361.364824944358,0.019690323842936987
569.0,409.0,1359.69347747925,0.020245460994944425
187.0,992.0,1344.794937105281,0.020794515354462778
1701.0,1724.0,1323.038518996262,0.021334686979609763
1028.0,259.0,1319.551797156006,0.0218734350421198
115.0,371.0,1298.036661656476,0.022403398881388287
413.0,17.0,1267.856667336567,0.022921040799303277
909.0,934.0,1256.072057454929,0.023433871283703604
910.0,936.0,1246.154936164807,0.02394265279489027
405.0,312.0,1236.23102061524,0.024447382558895527
1602.0,1613.0,1231.159035282105,0.024950041527137264
1006.0,169.0,1220.23546649074,0.02544824060866994
1802.0,1729.0,1210.10682798991,0.025942304358508975
413.0,402.0,1206.360935760622,0.0264348387313389
1827.0,813.0,1186.9385382842954,0.026919443306314562
36.0,299.0,1183.709535102269,0.02740272954031119
1814.0,1721.0,1180.77090488712,0.02788481598712382
115.0,114.0,1174.895855001078,0.028364503762091906
1813.0,1806.0,1171.4327265257539,0.028842777607148092
712.0,402.0,1167.391103405762,0.029319401333861076
932.0,304.0,1158.543310273039,0.0297924126738394
194.0,304.0,1155.567590284979,0.030264209083580355
199.0,120.0,1151.628786356607,0.03073439735411102
106.0,76.0,1141.9757136056119,0.031200644457456673
910.0,1905.0,1131.121642100439,0.0316624600485219
598.0,255.0,1120.32107082273,0.03211986597043855
721.0,344.0,1114.11730305193,0.03257473901121027
786.0,787.0,1107.174754138671,0.03302677754045772
120.0,166.0,1104.164630609535,0.03347758709315213
932.0,560.0,1094.752333578494,0.03392455378283792
185.0,457.0,1089.693876330933,0.034369455200021874
600.0,593.0,1089.286535664872,0.03481419030770961
910.0,1843.0,1080.7981922829422,0.03525545978520322
786.0,779.0,1072.5284693152842,0.035693352891086466
557.0,138.0,1072.370943336997,0.036131181682089626
934.0,907.0,1072.156093174866,0.03656892275383174
405.0,313.0,1069.851768991026,0.03700572301355561
551.0,530.0,1066.823581325514,0.037441286921480924
194.0,147.0,1053.637152632208,0.03787146705976168
106.0,152.0,1044.736317177656,0.038298013155130144
272.0,351.0,1044.36436981915,0.038724407391421016
409.0,533.0,1042.933477521912,0.03915021742142726
912.0,1905.0,1042.6826560294808,0.03957592504575805
907.0,794.0,1040.433772606804,0.040000714493485696
174.0,218.0,1039.844944817256,0.040425263533954266
114.0,172.0,1016.580148484302,0.04084031399772725
656.0,452.0,1015.49933894009,0.04125492318738797
623.0,153.0,1007.82719093453,0.04166639998400267
665.0,623.0,1007.82719093453,0.04207787678061736
410.0,416.0,1005.9565398786036,0.0424885898257566
945.0,456.0,1005.795281275384,0.04289923703205554
910.0,816.0,1004.623796127035,0.043309405943106574
82.0,258.0,991.97523262325,0.04371441068470562
570.0,457.0,990.238428083439,0.044118706321832374
105.0,134.0,989.59276908995,0.044522738348593445
106.0,40.0,984.74182414343,0.04492478982620373
112.0,142.0,982.316351670171,0.04532585102923862
112.0,384.0,982.316351670171,0.0457269122322735
112.0,147.0,979.51772958564,0.04612683081079832
569.0,71.0,974.7477445399111,0.046524801894569895
569.0,993.0,973.615720657578,0.04692231079438277
569.0,799.0,973.615720657578,0.04731981969419564
560.0,176.0,966.333877961225,0.04771435555524443
192.0,848.0,963.128292737854,0.04810758263642415
207.0,841.0,962.072070994878,0.04850037848222621
841.0,259.0,962.072070994878,0.04889317432802826
191.0,299.0,961.3610512781261,0.04928567987791648
907.0,909.0,956.4330946093228,0.04967617343622303
622.0,709.0,935.389611586108,0.05005807533808104
622.0,89.0,935.389611586108,0.05043997723993905
910.0,806.0,933.348765121362,0.050821045902752465
41.0,137.0,926.08948979006,0.05119915074063047
910.0,818.0,921.283782105475,0.051575293498876865
778.0,779.0,919.954090085351,0.05195089336899933
187.0,261.0,894.606074039994,0.05231614412318536
557.0,375.0,893.764665196468,0.052681051346041126
564.0,194.0,893.281287876188,0.05304576121507166
529.0,530.0,889.870206837891,0.053409078404175254
113.0,272.0,888.275355409105,0.05377174444557923
113.0,52.0,888.275355409105,0.054134410486983205
115.0,840.0,888.073653186757,0.05449699417718147
115.0,207.0,888.073653186757,0.05485957786737974
932.0,255.0,883.826336699898,0.0552204274585202
115.0,282.0,880.777100976951,0.05558003210433802
115.0,146.0,880.777100976951,0.055939636750155834
192.0,259.0,878.357066082529,0.05629825334145893
633.0,634.0,877.8458437825409,0.056656661210357784
37.0,304.0,877.061947728184,0.057014749029311335
37.0,261.0,877.061947728184,0.05737283684826489
37.0,75.0,877.061947728184,0.05773092466721845
37.0,114.0,874.99988985735,0.05808817058691114
37.0,116.0,874.99988985735,0.05844541650660383
