codsegorigen,codsegproposito,n_viajes,cumsum_viajes
121125,117116.0,1913.0007364,0.003897120339682889
115104,106104.0,1733.3724456,0.00742830612830203
112207,101204.0,1540.82803,0.010567244938627162
120232,122225.0,1495.0509422,0.013612927736781303
121130,121037.0,1359.918083,0.01638332103602032
118208,123205.0,1338.233576,0.01910953916497439
118103,118208.0,1338.233576,0.021835757293928462
110110,106104.0,1310.928551,0.02450635026483722
199021,123206.0,1280.1701714,0.027114282984511358
123101,101205.0,1251.4536669,0.029663715113128663
109048,109004.0,1233.7487353000001,0.03217707916935155
113025,112002.0,1216.288863,0.034654874382252066
114125,103201.0,1200.8176116,0.03710115192379781
114125,108008.0,1173.7290167,0.03949224521363391
113024,108008.0,1162.320833,0.04186009801856577
110110,106203.0,1140.9952902,0.04418450692668187
110110,110012.0,1140.9952902,0.04650891583479796
118113,102004.0,1122.1608879,0.04879495573923701
110225,124005.0,1121.8946154999999,0.05108045319977305
118315,121128.0,1121.806878,0.053365771923526976
121142,121230.0,1120.3878172,0.05564819976982241
115110,106102.0,1117.3288432,0.05792439594585911
304238,118124.0,1110.166667,0.060186001504122226
304238,125001.0,1110.166667,0.062447607062385335
118315,118215.0,1072.031114,0.0646315237643749
102001,102202.0,1050.0906646,0.06677074389621081
337486,337186.0,1014.6325299,0.06883772954568752
337126,337030.0,1014.4439209000001,0.07090433096532253
115106,101003.0,1014.1341052,0.07297030123566257
112011,124107.0,1009.926636,0.07502770014819501
112011,111097.0,1009.926636,0.07708509906072744
118103,123205.0,990.6229656,0.0791031729875895
118315,337232.0,982.7271707,0.08110516178582756
118315,119206.0,982.7271707,0.08310715058406563
124211,103003.0,982.67345,0.08510902994375064
122120,122027.0,979.3836484,0.0871042073965911
118216,101003.0,965.8836168,0.08907188290093061
115104,106304.0,965.2088659,0.09103818381852452
116042,116045.0,959.5375,0.09299293116220593
116042,116043.0,959.5375,0.09494767850588733
121125,114211.0,956.5003682,0.09689623867572877
111114,102003.0,954.8560026,0.09884144898244487
112112,199007.0,941.6028036,0.10075966018225734
115104,107009.0,923.5482526,0.10264109107321413
115104,109051.0,923.5482526,0.10452252196417092
111230,104103.0,913.6422425,0.10638377256313343
123202,115104.0,905.7252108,0.10822889477035992
121047,118227.0,892.5114412,0.11004709819533388
121047,109044.0,892.5114412,0.11186530162030785
