nform,nnper,nvj,IDPERV,origen,proposito,VF5,VF6,tiempoviaje,modoprincipal,codsegorigen,codsegproposito,wcal0_x,LATITUD_ORIGEN,LONGITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_DESTINO,PICO_HABIL,Intra_Inter,publico_privado,motorizado,duracion,distancia_manhattan,idviaje,IDPER,SEXO,INSE,INSE_RecF,wcal0_y,E10,EDAD,codseghogar,CODSEG,CODLOC,NOMBLOC
1004,1,1,10040101,1,Trabajo,5.0,6,60.0,Bus,109009,111020.0,597.1607578,6148952.322833432,568573.3286589187,6141160.2898426475,578920.2977452059,No,Inter,Público,Motorizado,60.0,18139.00207707158,100411,100401,Femenino,42,M,597.1607578, ,42,109009,109009,1020,MONTEVIDEO
1004,2,1,10040201,1,Trabajo,5.0,"6,3",90.0,Bus,109009,1606115.0,597.1607578,6148952.322833432,568573.3286589187,6153014.576432164,553592.5918530711,No,Inter,Público,Motorizado,90.0,19042.990404579556,100421,100402,Masculino,42,M,597.1607578, ,43,109009,109009,1020,MONTEVIDEO
1004,2,2,10040202,2,Regreso al hogar/hogar,17.0,18,60.0,Bus,1606115,109009.0,597.1607578,6153014.576432164,553592.5918530711,6148952.322833432,568573.3286589187,No,Inter,Público,Motorizado,60.0,19042.990404579556,100422,100402,Masculino,42,M,597.1607578, ,43,109009,109009,1020,MONTEVIDEO
1005,1,1,10050101,1,Trabajo,9.0,"9,3",30.0,Auto conductor,121027,123201.0,634.7601675,6145551.396457765,571057.7222122651,6138068.974947939,576119.9687915056,Si,Inter,Privado,Motorizado,30.0,12544.668089066981,100511,100501,Masculino,60,A+,634.7601675, ,62,121027,121027,1020,MONTEVIDEO
1005,1,2,10050102,2,Regreso al hogar/hogar,17.3,18,30.0,Auto conductor,123201,121027.0,634.7601675,6138068.974947939,576119.9687915056,6145551.396457765,571057.7222122651,No,Inter,Privado,Motorizado,30.0,12544.668089066981,100512,100501,Masculino,60,A+,634.7601675, ,62,121027,121027,1020,MONTEVIDEO
1005,1,3,10050103,1,Compras (hogar),19.0,"19,02",2.0,Auto conductor,121027,121130.0,634.7601675,6145551.396457765,571057.7222122651,6144969.012430292,571562.1988807656,No,Inter,Privado,Motorizado,2.0,1086.8606959740864,100513,100501,Masculino,60,A+,634.7601675, ,62,121027,121027,1020,MONTEVIDEO
1005,1,4,10050104,6,Regreso al hogar/hogar,19.3,"19,32",2.0,Auto conductor,121130,121027.0,634.7601675,6144969.012430292,571562.1988807656,6145551.396457765,571057.7222122651,No,Inter,Privado,Motorizado,2.0,1086.8606959740864,100514,100501,Masculino,60,A+,634.7601675, ,62,121027,121027,1020,MONTEVIDEO
1005,2,1,10050201,1,Trabajo,11.0,12,60.0,Bus,121027,123003.0,634.7601675,6145551.396457765,571057.7222122651,6138547.759369361,576180.9350429475,No,Inter,Público,Motorizado,60.0,12126.849919086439,100521,100502,Femenino,60,A+,634.7601675, ,24,121027,121027,1020,MONTEVIDEO
1005,2,2,10050202,2,Regreso al hogar/hogar,20.0,21,60.0,Bus,123003,121027.0,634.7601675,6138547.759369361,576180.9350429475,6145551.396457765,571057.7222122651,No,Inter,Público,Motorizado,60.0,12126.849919086439,100522,100502,Femenino,60,A+,634.7601675, ,24,121027,121027,1020,MONTEVIDEO
1006,2,1,10060201,1,Compras (hogar),10.0,"10,04",4.0,A pie hasta 10 cuadras,109255,109255.0,662.2317415,6150081.289760826,570458.8362249176,6150081.289760826,570458.8362249176,No,Intra,Privado,No Motorizado,4.0,0.0,100621,100602,Femenino,39,M,662.2317415,4,82,109255,109255,1020,MONTEVIDEO
1006,2,2,10060202,6,Regreso al hogar/hogar,10.2,"10,23",3.0,A pie hasta 10 cuadras,109255,109255.0,662.2317415,6150081.289760826,570458.8362249176,6150081.289760826,570458.8362249176,No,Intra,Privado,No Motorizado,3.0,0.0,100622,100602,Femenino,39,M,662.2317415,4,82,109255,109255,1020,MONTEVIDEO
1007,1,1,10070101,1,Trabajo,8.0,"8,2",20.0,Auto conductor,109008,120015.0,472.9245084,6149557.983688049,568401.4157279985,6142049.316858357,570573.7464010741,Si,Inter,Privado,Motorizado,20.0,9680.99750276783,100711,100701,Masculino,45,M+,472.9245084, ,37,109008,109008,1020,MONTEVIDEO
1007,1,2,10070102,2,Regreso al hogar/hogar,17.0,"17,2",20.0,Auto conductor,120015,109008.0,472.9245084,6142049.316858357,570573.7464010741,6149557.983688049,568401.4157279985,No,Inter,Privado,Motorizado,20.0,9680.99750276783,100712,100701,Masculino,45,M+,472.9245084, ,37,109008,109008,1020,MONTEVIDEO
1009,1,1,10090101,1,Compras (hogar),11.1,"11,15",5.0,A pie hasta 10 cuadras,109023,109023.0,314.2574189,6148085.061664053,570899.2762895107,6148085.061664053,570899.2762895107,No,Intra,Privado,No Motorizado,5.0,0.0,100911,100901,Masculino,35,M-,314.2574189,4,93,109023,109023,1020,MONTEVIDEO
1009,1,2,10090102,6,Regreso al hogar/hogar,11.25,"11,3",5.0,A pie hasta 10 cuadras,109023,109023.0,314.2574189,6148085.061664053,570899.2762895107,6148085.061664053,570899.2762895107,No,Intra,Privado,No Motorizado,5.0,0.0,100912,100901,Masculino,35,M-,314.2574189,4,93,109023,109023,1020,MONTEVIDEO
1009,2,1,10090201,1,Asistencia médica,6.0,"6,2",20.0,Bus,109023,109010.0,314.2574189,6148085.061664053,570899.2762895107,6149213.984817185,568853.8997840246,No,Inter,Público,Motorizado,20.0,3174.2996586182853,100921,100902,Femenino,35,M-,314.2574189,3,71,109023,109023,1020,MONTEVIDEO
1009,2,2,10090202,8,Compras (hogar),13.1,"13,2",10.0,Bus,109010,109025.0,314.2574189,6149213.984817185,568853.8997840246,6147690.755667945,571040.3876106607,No,Inter,Público,Motorizado,10.0,3709.7169758762466,100922,100902,Femenino,35,M-,314.2574189,3,71,109023,109023,1020,MONTEVIDEO
1009,2,3,10090203,6,Regreso al hogar/hogar,13.55,14,5.0,A pie hasta 10 cuadras,109025,109023.0,314.2574189,6147690.755667945,571040.3876106607,6148085.061664053,570899.2762895107,No,Inter,Privado,No Motorizado,5.0,535.4173172579613,100923,100902,Femenino,35,M-,314.2574189,3,71,109023,109023,1020,MONTEVIDEO
1011,1,1,10110101,13,Regreso al hogar/hogar,9.0,10,60.0,Bus,114105,109023.0,582.3194513,6141134.2333624065,571853.9536948815,6148085.061664053,570899.2762895107,Si,Inter,Público,Motorizado,60.0,7905.505707017612,101111,101101,Masculino,46,M+,582.3194513, ,49,109023,109023,1020,MONTEVIDEO
1011,1,2,10110102,1,Compras (hogar),12.3,"12,33",3.0,A pie hasta 10 cuadras,109023,109023.0,582.3194513,6148085.061664053,570899.2762895107,6148085.061664053,570899.2762895107,No,Intra,Privado,No Motorizado,3.0,0.0,101112,101101,Masculino,46,M+,582.3194513, ,49,109023,109023,1020,MONTEVIDEO
1011,1,3,10110103,6,Regreso al hogar/hogar,12.45,"12,48",3.0,A pie hasta 10 cuadras,109023,109023.0,582.3194513,6148085.061664053,570899.2762895107,6148085.061664053,570899.2762895107,No,Intra,Privado,No Motorizado,3.0,0.0,101113,101101,Masculino,46,M+,582.3194513, ,49,109023,109023,1020,MONTEVIDEO
1014,1,1,10140101,1,Otro,17.0,"17,4",40.0,Auto pasajero,109022,119015.0,314.2574189,6148334.829972758,570976.1818352431,6139174.163528219,575845.7633009406,No,Inter,Privado,Motorizado,40.0,14030.24791023659,101411,101401,Femenino,56,A-,314.2574189,3,75,109022,109022,1020,MONTEVIDEO
1014,1,2,10140102,16,Regreso al hogar/hogar,21.3,"22,1",40.0,Auto pasajero,119015,109022.0,314.2574189,6139174.163528219,575845.7633009406,6148334.829972758,570976.1818352431,No,Inter,Privado,Motorizado,40.0,14030.24791023659,101412,101401,Femenino,56,A-,314.2574189,3,75,109022,109022,1020,MONTEVIDEO
1014,2,1,10140201,1,Otro,17.0,"17,4",40.0,Auto conductor,109022,119015.0,314.2574189,6148334.829972758,570976.1818352431,6139174.163528219,575845.7633009406,No,Inter,Privado,Motorizado,40.0,14030.24791023659,101421,101402,Masculino,56,A-,314.2574189,4,77,109022,109022,1020,MONTEVIDEO
1014,2,2,10140202,16,Regreso al hogar/hogar,21.3,"22,1",40.0,Auto conductor,119015,109022.0,314.2574189,6139174.163528219,575845.7633009406,6148334.829972758,570976.1818352431,No,Inter,Privado,Motorizado,40.0,14030.24791023659,101422,101402,Masculino,56,A-,314.2574189,4,77,109022,109022,1020,MONTEVIDEO
1016,1,1,10160101,1,Asistencia médica,8.3,"9,4",70.0,Bus,109008,101002.0,557.1963595,6149557.983688049,568401.4157279985,6137624.395759658,573378.9252483215,Si,Inter,Público,Motorizado,70.0,16911.097448714077,101611,101601,Masculino,37,M,557.1963595,4,65,109008,109008,1020,MONTEVIDEO
1016,1,2,10160102,8,Regreso al hogar/hogar,11.3,13,90.0,Bus,101002,109008.0,557.1963595,6137624.395759658,573378.9252483215,6149557.983688049,568401.4157279985,No,Inter,Público,Motorizado,90.0,16911.097448714077,101612,101601,Masculino,37,M,557.1963595,4,65,109008,109008,1020,MONTEVIDEO
1016,2,1,10160201,1,Entretenimiento / ocio,15.0,16,60.0,Bus,109008,121104.0,557.1963595,6149557.983688049,568401.4157279985,6147214.10393378,572435.3244504754,No,Inter,Público,Motorizado,60.0,6377.788476745482,101621,101602,Femenino,37,M,557.1963595,3,55,109008,109008,1020,MONTEVIDEO
1016,2,2,10160202,15,Regreso al hogar/hogar,18.0,"18,3",30.0,Bus,121104,109008.0,557.1963595,6147214.10393378,572435.3244504754,6149557.983688049,568401.4157279985,No,Inter,Público,Motorizado,30.0,6377.788476745482,101622,101602,Femenino,37,M,557.1963595,3,55,109008,109008,1020,MONTEVIDEO
1016,3,1,10160301,1,Trabajo,7.2,"8,5",90.0,Bus,109008,124107.0,557.1963595,6149557.983688049,568401.4157279985,6137353.375262077,578958.8998395562,Si,Inter,Público,Motorizado,90.0,22762.092537529767,101631,101603,Femenino,37,M,557.1963595, ,28,109008,109008,1020,MONTEVIDEO
1016,3,2,10160302,2,Regreso al hogar/hogar,14.3,"16,2",110.0,Bus,124107,109008.0,557.1963595,6137353.375262077,578958.8998395562,6149557.983688049,568401.4157279985,No,Inter,Público,Motorizado,110.0,22762.092537529767,101632,101603,Femenino,37,M,557.1963595, ,28,109008,109008,1020,MONTEVIDEO
1016,4,1,10160401,1,Visitar a alguien,18.0,"19,15",75.0,Bus,109008,111099.0,557.1963595,6149557.983688049,568401.4157279985,6144236.174653084,579183.3751287527,No,Inter,Público,Motorizado,75.0,16103.76843571919,101641,101604,Masculino,37,M,557.1963595,1,36,109008,109008,1020,MONTEVIDEO
1017,1,1,10170101,1,Trabajo,6.3,"6,45",15.0,Bicicleta,109022,109008.0,532.7551575,6148334.829972758,570976.1818352431,6149557.983688049,568401.4157279985,No,Inter,Privado,No Motorizado,15.0,3797.9198225357104,101711,101701,Masculino,32,M-,532.7551575, ,29,109022,109022,1020,MONTEVIDEO
1017,1,2,10170102,2,Regreso al hogar/hogar,17.0,"17,15",15.0,Bicicleta,109008,109022.0,532.7551575,6149557.983688049,568401.4157279985,6148334.829972758,570976.1818352431,No,Inter,Privado,No Motorizado,15.0,3797.9198225357104,101712,101701,Masculino,32,M-,532.7551575, ,29,109022,109022,1020,MONTEVIDEO
1017,2,1,10170201,1,Compras (hogar),10.3,"10,4",10.0,A pie hasta 10 cuadras,109022,109022.0,532.7551575,6148334.829972758,570976.1818352431,6148334.829972758,570976.1818352431,No,Intra,Privado,No Motorizado,10.0,0.0,101721,101702,Femenino,32,M-,532.7551575,2,24,109022,109022,1020,MONTEVIDEO
1017,2,2,10170202,6,Regreso al hogar/hogar,11.15,"11,2",5.0,A pie hasta 10 cuadras,109022,109022.0,532.7551575,6148334.829972758,570976.1818352431,6148334.829972758,570976.1818352431,No,Intra,Privado,No Motorizado,5.0,0.0,101722,101702,Femenino,32,M-,532.7551575,2,24,109022,109022,1020,MONTEVIDEO
1017,2,3,10170203,1,Estudios,17.15,"18,1",55.0,Bus,109022,112024.0,532.7551575,6148334.829972758,570976.1818352431,6140362.311313525,575152.4115336813,No,Inter,Público,Motorizado,55.0,12148.748357671313,101723,101702,Femenino,32,M-,532.7551575,2,24,109022,109022,1020,MONTEVIDEO
1017,2,4,10170204,5,Regreso al hogar/hogar,22.25,"23,45",80.0,Bus,112024,109022.0,532.7551575,6140362.311313525,575152.4115336813,6148334.829972758,570976.1818352431,No,Inter,Público,Motorizado,80.0,12148.748357671313,101724,101702,Femenino,32,M-,532.7551575,2,24,109022,109022,1020,MONTEVIDEO
1017,3,1,10170301,1,Estudios,13.0,"13,15",15.0,A pie hasta 10 cuadras,109022,121109.0,532.7551575,6148334.829972758,570976.1818352431,6146984.027793814,571606.6782608506,No,Inter,Privado,No Motorizado,15.0,1981.2986045510042,101731,101703,Masculino,32,M-,532.7551575, ,7,109022,109022,1020,MONTEVIDEO
1017,3,2,10170302,5,Regreso al hogar/hogar,18.15,"18,25",10.0,Bus escolar,121109,109022.0,532.7551575,6146984.027793814,571606.6782608506,6148334.829972758,570976.1818352431,No,Inter,Privado,Motorizado,10.0,1981.2986045510042,101732,101703,Masculino,32,M-,532.7551575, ,7,109022,109022,1020,MONTEVIDEO
1019,1,1,10190101,1,Trabajo,6.3,"7,15",45.0,Bus,109022,106202.0,583.0560333,6148334.829972758,570976.1818352431,6137615.277707873,574296.9436834485,No,Inter,Público,Motorizado,45.0,14040.314113090397,101911,101901,Femenino,51,A-,583.0560333, ,55,109022,109022,1020,MONTEVIDEO
1019,1,2,10190102,2,Ir a comer,13.0,"13,3",30.0,Bus,106202,115111.0,583.0560333,6137615.277707873,574296.9436834485,6136792.063067407,575234.5168966425,No,Inter,Público,Motorizado,30.0,1760.7878536595963,101912,101901,Femenino,51,A-,583.0560333, ,55,109022,109022,1020,MONTEVIDEO
1019,1,3,10190103,10,Trabajo,17.0,"17,3",30.0,Bus,115111,106202.0,583.0560333,6136792.063067407,575234.5168966425,6137615.277707873,574296.9436834485,No,Inter,Público,Motorizado,30.0,1760.7878536595963,101913,101901,Femenino,51,A-,583.0560333, ,55,109022,109022,1020,MONTEVIDEO
1019,1,4,10190104,2,Regreso al hogar/hogar,22.0,"23,15",75.0,Bus,106202,109022.0,583.0560333,6137615.277707873,574296.9436834485,6148334.829972758,570976.1818352431,No,Inter,Público,Motorizado,75.0,14040.314113090397,101914,101901,Femenino,51,A-,583.0560333, ,55,109022,109022,1020,MONTEVIDEO
1021,1,1,10210101,1,Tramites personal,10.0,"10,3",30.0,Bus,112107,101204.0,267.57973,6141200.260355791,575161.0168055198,6137390.2837861525,573508.1981702512,No,Inter,Público,Motorizado,30.0,5462.79520490719,102111,102101,Masculino,51,A-,267.57973,4,70,112107,112107,1020,MONTEVIDEO
1021,1,2,10210102,4,Tramites personal,10.45,"11,05",20.0,Bus,101204,123206.0,267.57973,6137390.2837861525,573508.1981702512,6139343.932764441,576824.9578795872,No,Inter,Público,Motorizado,20.0,5270.408687624265,102112,102101,Masculino,51,A-,267.57973,4,70,112107,112107,1020,MONTEVIDEO
1021,1,3,10210103,4,Regreso al hogar/hogar,12.3,"12,4",10.0,Bus,123206,112107.0,267.57973,6139343.932764441,576824.9578795872,6141200.260355791,575161.0168055198,No,Inter,Público,Motorizado,10.0,3520.2686654176796,102113,102101,Masculino,51,A-,267.57973,4,70,112107,112107,1020,MONTEVIDEO
1021,1,4,10210104,1,Compras (hogar),15.3,"16,1",40.0,A pie hasta 10 cuadras,112107,122219.0,267.57973,6141200.260355791,575161.0168055198,6141445.290315256,576003.2819113138,No,Inter,Privado,No Motorizado,40.0,1087.295065259328,102114,102101,Masculino,51,A-,267.57973,4,70,112107,112107,1020,MONTEVIDEO
1021,1,5,10210105,6,Regreso al hogar/hogar,17.3,"17,4",10.0,A pie hasta 10 cuadras,122219,112107.0,267.57973,6141445.290315256,576003.2819113138,6141200.260355791,575161.0168055198,No,Inter,Privado,No Motorizado,10.0,1087.295065259328,102115,102101,Masculino,51,A-,267.57973,4,70,112107,112107,1020,MONTEVIDEO
1022,1,1,10220101,1,Visitar a alguien,16.0,"16,3",30.0,Auto conductor,120131,116037.0,379.1642397,6143071.470993086,570706.3602178222,6144085.545499341,559745.9324593538,No,Inter,Privado,Motorizado,30.0,11974.502264723298,102211,102201,Masculino,60,A+,379.1642397,4,62,120131,120131,1020,MONTEVIDEO
1022,1,2,10220102,13,Regreso al hogar/hogar,18.15,"18,45",30.0,Auto conductor,116037,120131.0,379.1642397,6144085.545499341,559745.9324593538,6143071.470993086,570706.3602178222,No,Inter,Privado,Motorizado,30.0,11974.502264723298,102212,102201,Masculino,60,A+,379.1642397,4,62,120131,120131,1020,MONTEVIDEO
1023,1,1,10230101,1,Trabajo,6.3,"7,45",75.0,Bus,120003,124202.0,110.9888526,6141190.943045045,569689.2022391816,6136787.929552455,578366.2363654184,No,Inter,Público,Motorizado,75.0,13080.047618826618,102311,102301,Femenino,29,B+,110.9888526, ,46,120003,120003,1020,MONTEVIDEO
1023,1,2,10230102,2,Trabajo,13.0,"13,25",25.0,Bus,124202,107108.0,110.9888526,6136787.929552455,578366.2363654184,6136764.648572579,575006.2503897771,No,Inter,Público,Motorizado,25.0,3383.266955517698,102312,102301,Femenino,29,B+,110.9888526, ,46,120003,120003,1020,MONTEVIDEO
1023,1,3,10230103,2,Regreso al hogar/hogar,16.3,"17,4",70.0,Bus,107108,120003.0,110.9888526,6136764.648572579,575006.2503897771,6141190.943045045,569689.2022391816,No,Inter,Público,Motorizado,70.0,9743.342623061733,102313,102301,Femenino,29,B+,110.9888526, ,46,120003,120003,1020,MONTEVIDEO
1023,2,1,10230201,1,Estudios,6.45,"7,1",25.0,Bus,120003,120039.0,110.9888526,6141190.943045045,569689.2022391816,6142293.973426571,572604.4936878927,No,Inter,Público,Motorizado,25.0,4018.321830236935,102321,102302,Femenino,29,B+,110.9888526,2,17,120003,120003,1020,MONTEVIDEO
1023,2,2,10230202,5,Regreso al hogar/hogar,12.3,"12,55",25.0,Bus,120039,120003.0,110.9888526,6142293.973426571,572604.4936878927,6141190.943045045,569689.2022391816,No,Inter,Público,Motorizado,25.0,4018.321830236935,102322,102302,Femenino,29,B+,110.9888526,2,17,120003,120003,1020,MONTEVIDEO
1024,1,1,10240101,1,Trabajo,7.3,"7,4",10.0,Auto pasajero,121043,120019.0,600.8422525,6143544.79881635,571700.8454357756,6141869.057825516,571483.8327109759,Si,Inter,Privado,Motorizado,10.0,1892.7537156339968,102411,102401,Masculino,57,A-,600.8422525, ,50,121043,121043,1020,MONTEVIDEO
1024,1,2,10240102,2,Regreso al hogar/hogar,17.0,"17,15",15.0,Auto pasajero,120019,121043.0,600.8422525,6141869.057825516,571483.8327109759,6143544.79881635,571700.8454357756,No,Inter,Privado,Motorizado,15.0,1892.7537156339968,102412,102401,Masculino,57,A-,600.8422525, ,50,121043,121043,1020,MONTEVIDEO
1024,2,1,10240201,1,Trabajo,8.3,"9,1",40.0,Bus,121043,114112.0,600.8422525,6143544.79881635,571700.8454357756,6140968.511883552,573145.5619192021,Si,Inter,Público,Motorizado,40.0,4021.0034162246156,102421,102402,Femenino,57,A-,600.8422525, ,47,121043,121043,1020,MONTEVIDEO
1024,2,2,10240202,2,Regreso al hogar/hogar,9.3,"10,3",60.0,Bus,114112,121043.0,600.8422525,6140968.511883552,573145.5619192021,6143544.79881635,571700.8454357756,No,Inter,Público,Motorizado,60.0,4021.0034162246156,102422,102402,Femenino,57,A-,600.8422525, ,47,121043,121043,1020,MONTEVIDEO
1024,2,3,10240203,1,Trabajo,13.0,"13,01",1.0,A pie hasta 10 cuadras,121043,121043.0,600.8422525,6143544.79881635,571700.8454357756,6143544.79881635,571700.8454357756,No,Intra,Privado,No Motorizado,1.0,0.0,102423,102402,Femenino,57,A-,600.8422525, ,47,121043,121043,1020,MONTEVIDEO
1024,2,4,10240204,2,Regreso al hogar/hogar,14.14,"14,15",1.0,A pie hasta 10 cuadras,121043,121043.0,600.8422525,6143544.79881635,571700.8454357756,6143544.79881635,571700.8454357756,No,Intra,Privado,No Motorizado,1.0,0.0,102424,102402,Femenino,57,A-,600.8422525, ,47,121043,121043,1020,MONTEVIDEO
1024,3,1,10240301,2,Regreso al hogar/hogar,6.0,"6,3",30.0,Auto conductor,122123,121043.0,600.8422525,6141564.158883627,577084.4027725554,6143544.79881635,571700.8454357756,No,Inter,Privado,Motorizado,30.0,7364.197269503493,102431,102403,Masculino,57,A-,600.8422525, ,25,121043,121043,1020,MONTEVIDEO
1024,4,1,10240401,1,Estudios,8.3,9,30.0,Bus,121043,123003.0,600.8422525,6143544.79881635,571700.8454357756,6138547.759369361,576180.9350429475,Si,Inter,Público,Motorizado,30.0,9477.129054161021,102441,102404,Femenino,57,A-,600.8422525, ,24,121043,121043,1020,MONTEVIDEO
1024,4,2,10240402,5,Regreso al hogar/hogar,11.0,12,60.0,Bus,123003,121043.0,600.8422525,6138547.759369361,576180.9350429475,6143544.79881635,571700.8454357756,No,Inter,Público,Motorizado,60.0,9477.129054161021,102442,102404,Femenino,57,A-,600.8422525, ,24,121043,121043,1020,MONTEVIDEO
1025,1,1,10250101,1,Trabajo,11.0,"11,5",50.0,Bus,113012,106104.0,587.0601537,6139149.036492185,566878.0973640229,6137242.108362448,574148.468025506,No,Inter,Público,Motorizado,50.0,9177.29879121948,102511,102501,Masculino,23,B+,587.0601537, ,35,113012,113012,1020,MONTEVIDEO
1025,1,2,10250102,2,Regreso al hogar/hogar,22.0,"23,05",65.0,Bus,106104,113012.0,587.0601537,6137242.108362448,574148.468025506,6139149.036492185,566878.0973640229,No,Inter,Público,Motorizado,65.0,9177.29879121948,102512,102501,Masculino,23,B+,587.0601537, ,35,113012,113012,1020,MONTEVIDEO
1025,2,1,10250201,1,Dejar/recoger niños,7.5,"8,05",15.0,A pie hasta 10 cuadras,113012,113252.0,587.0601537,6139149.036492185,566878.0973640229,6140617.470348665,566715.3417920908,Si,Inter,Privado,No Motorizado,15.0,1631.1894284118898,102521,102502,Femenino,23,B+,587.0601537,3,29,113012,113012,1020,MONTEVIDEO
1025,2,2,10250202,11,Regreso al hogar/hogar,8.1,"8,18",8.0,A pie hasta 10 cuadras,113252,113012.0,587.0601537,6140617.470348665,566715.3417920908,6139149.036492185,566878.0973640229,Si,Inter,Privado,No Motorizado,8.0,1631.1894284118898,102522,102502,Femenino,23,B+,587.0601537,3,29,113012,113012,1020,MONTEVIDEO
1025,2,3,10250203,1,Asistencia médica,12.0,13,60.0,Bus,113012,121236.0,587.0601537,6139149.036492185,566878.0973640229,6143507.5814659875,572956.1773287617,No,Inter,Público,Motorizado,60.0,10436.624938541558,102523,102502,Femenino,23,B+,587.0601537,3,29,113012,113012,1020,MONTEVIDEO
1025,2,4,10250204,8,Visitar a alguien,15.0,"15,3",30.0,Bus,121236,113051.0,587.0601537,6143507.5814659875,572956.1773287617,6139762.484816943,566732.4055745013,No,Inter,Público,Motorizado,30.0,9968.868403304601,102524,102502,Femenino,23,B+,587.0601537,3,29,113012,113012,1020,MONTEVIDEO
1025,2,5,10250205,13,Regreso al hogar/hogar,19.0,"19,15",15.0,A pie hasta 10 cuadras,113051,113012.0,587.0601537,6139762.484816943,566732.4055745013,6139149.036492185,566878.0973640229,No,Inter,Privado,No Motorizado,15.0,759.1401142801624,102525,102502,Femenino,23,B+,587.0601537,3,29,113012,113012,1020,MONTEVIDEO
1025,3,1,10250301,1,Estudios,7.1,"7,3",20.0,A pie hasta 10 cuadras,113012,113012.0,587.0601537,6139149.036492185,566878.0973640229,6139149.036492185,566878.0973640229,Si,Intra,Privado,No Motorizado,20.0,0.0,102531,102503,Masculino,23,B+,587.0601537, ,13,113012,113012,1020,MONTEVIDEO
1025,3,2,10250302,5,Regreso al hogar/hogar,13.0,"13,15",15.0,A pie hasta 10 cuadras,113012,113012.0,587.0601537,6139149.036492185,566878.0973640229,6139149.036492185,566878.0973640229,No,Intra,Privado,No Motorizado,15.0,0.0,102532,102503,Masculino,23,B+,587.0601537, ,13,113012,113012,1020,MONTEVIDEO
1025,4,1,10250401,1,Estudios,7.45,8,15.0,A pie hasta 10 cuadras,113012,113252.0,587.0601537,6139149.036492185,566878.0973640229,6140617.470348665,566715.3417920908,Si,Inter,Privado,No Motorizado,15.0,1631.1894284118898,102541,102504,Femenino,23,B+,587.0601537, ,5,113012,113012,1020,MONTEVIDEO
1025,4,2,10250402,5,Regreso al hogar/hogar,12.0,"12,15",15.0,A pie hasta 10 cuadras,113252,113012.0,587.0601537,6140617.470348665,566715.3417920908,6139149.036492185,566878.0973640229,No,Inter,Privado,No Motorizado,15.0,1631.1894284118898,102542,102504,Femenino,23,B+,587.0601537, ,5,113012,113012,1020,MONTEVIDEO
1026,1,1,10260101,1,Compras (hogar),10.0,"10,03",3.0,A pie hasta 10 cuadras,120009,120020.0,533.3092158,6141761.411585866,570277.7013303919,6142331.0074246,571085.3864900661,No,Inter,Privado,No Motorizado,3.0,1377.2809984090272,102611,102601,Femenino,41,M,533.3092158,4,80,120009,120009,1020,MONTEVIDEO
1026,1,2,10260102,6,Regreso al hogar/hogar,10.45,"10,5",5.0,A pie hasta 10 cuadras,120020,120009.0,533.3092158,6142331.0074246,571085.3864900661,6141761.411585866,570277.7013303919,No,Inter,Privado,No Motorizado,5.0,1377.2809984090272,102612,102601,Femenino,41,M,533.3092158,4,80,120009,120009,1020,MONTEVIDEO
1028,1,2,10280102,2,Visitar a alguien,18.0,"18,2",20.0,Auto conductor,122033,114207.0,538.1559885,6140550.640093499,577658.5810342463,6141677.248609603,572466.4883367344,No,Inter,Privado,Motorizado,20.0,6318.701213616412,102812,102801,Masculino,43,M,538.1559885, ,49,113012,113012,1020,MONTEVIDEO
1028,1,3,10280103,13,Regreso al hogar/hogar,19.3,20,30.0,Auto conductor,114207,113012.0,538.1559885,6141677.248609603,572466.4883367344,6139149.036492185,566878.0973640229,No,Inter,Privado,Motorizado,30.0,8116.603090130142,102813,102801,Masculino,43,M,538.1559885, ,49,113012,113012,1020,MONTEVIDEO
1028,2,1,10280201,1,Trabajo,12.3,"13,5",80.0,Bus,113012,106204.0,538.1559885,6139149.036492185,566878.0973640229,6137345.821336855,574285.5778121024,No,Inter,Público,Motorizado,80.0,9210.695603409084,102821,102802,Femenino,43,M,538.1559885, ,49,113012,113012,1020,MONTEVIDEO
1028,2,2,10280202,2,Regreso al hogar/hogar,21.0,"22,2",80.0,Bus,106204,113012.0,538.1559885,6137345.821336855,574285.5778121024,6139149.036492185,566878.0973640229,No,Inter,Público,Motorizado,80.0,9210.695603409084,102822,102802,Femenino,43,M,538.1559885, ,49,113012,113012,1020,MONTEVIDEO
1028,3,1,10280301,1,Trabajo,12.0,"13,4",100.0,Bus,113012,118208.0,538.1559885,6139149.036492185,566878.0973640229,6135302.493057109,576673.873778856,No,Inter,Público,Motorizado,100.0,13642.319849908468,102831,102803,Femenino,43,M,538.1559885, ,23,113012,113012,1020,MONTEVIDEO
1028,3,2,10280302,2,Regreso al hogar/hogar,18.3,20,90.0,Bus,118208,113012.0,538.1559885,6135302.493057109,576673.873778856,6139149.036492185,566878.0973640229,No,Inter,Público,Motorizado,90.0,13642.319849908468,102832,102803,Femenino,43,M,538.1559885, ,23,113012,113012,1020,MONTEVIDEO
1028,4,1,10280401,1,Estudios,11.3,13,90.0,Bus,113012,112031.0,538.1559885,6139149.036492185,566878.0973640229,6139908.12988179,575201.3036827031,No,Inter,Público,Motorizado,90.0,9082.299708285369,102841,102804,Femenino,43,M,538.1559885,2,16,113012,113012,1020,MONTEVIDEO
