codsegorigen,codsegproposito,n_viajes,cumsum_viajes
121125,121130.0,4780.694682800001,0.004105129813930601
118103,118208.0,3822.718964,0.007387656440417282
317244,317344.0,3347.4686755000002,0.010262090884104744
304238,304141.0,3330.500001,0.013121954514089451
105206,107205.0,3230.1505372,0.015895649165925556
112207,101204.0,3081.65606,0.018541833247435777
337319,337118.0,3058.6048786999995,0.021168223533717574
119104,119003.0,2803.7134556,0.023575741365322936
121045,120027.0,2785.0559264,0.025967238182315347
123202,115203.0,2717.1756324,0.028300446939273232
111230,199204.0,2677.5343236,0.03059961614143512
118103,118204.0,2676.467152,0.03289786897511033
111209,117202.0,2560.406824,0.03509646208477064
121125,121026.0,2498.883577,0.03724222586056485
113024,113252.0,2449.4618127,0.03934555171226094
113025,120014.0,2432.577726,0.041434379384865494
112015,112014.0,2408.987458,0.04350295035443612
114024,114018.0,2296.1816385,0.04547465621055776
119104,119204.0,2272.9068214999998,0.04742637623794112
109048,109052.0,2248.1801487000002,0.049356863744018355
105101,118315.0,2243.613756,0.05128343013903148
304238,304039.0,2220.333334,0.05319000589235462
110333,110225.0,2196.1839413,0.05507584482842863
112225,112024.0,2194.6607337,0.056960375802930854
122017,122021.0,2147.7993384,0.05880466741396556
110040,110235.0,2105.9102529,0.060612989329135135
105106,107107.0,2103.2498304,0.06241902676883681
118120,107205.0,2103.2498304,0.06422506420853849
116042,116028.0,2085.2814692,0.06601567241459029
337526,110076.0,2082.2004796,0.06780363500884244
337391,337340.0,2033.9228951999999,0.06955014217366129
110042,123205.0,2027.9300268000002,0.07129150332846022
337125,110076.0,1992.3279636,0.07300229338412463
113024,113240.0,1986.8782964,0.07470840387065045
110006,199021.0,1973.0892345000002,0.07640267384175588
111235,111237.0,1942.7235641000002,0.0780708691464896
337243,337343.0,1930.4720527,0.07972854421346483
110040,122026.0,1925.6060400000001,0.08138204088898543
108003,112112.0,1925.5433712,0.08303548375149843
111209,111008.0,1922.7341322,0.08468651435145579
121125,117116.0,1913.0007364,0.08632918699175654
111114,111206.0,1909.7120052,0.08796903563483618
118315,118207.0,1881.5380393,0.08958469160403335
115104,107206.0,1847.0965052,0.09117077300763858
117103,117203.0,1808.279221,0.09272352243728646
124211,118117.0,1738.651613,0.09421648340763324
110058,110066.0,1738.5262998,0.09570933677291685
115104,106104.0,1733.3724456,0.09719776458042342
124119,102003.0,1719.9606327000001,0.09867467581206651
304138,109022.0,1711.4992302,0.10014432133067519
119204,119104.0,1682.8138655,0.10158933504289029
119204,120048.0,1677.1644792,0.10302949768937765
113051,113012.0,1675.9588772,0.10446862509872014
109004,109020.0,1646.4803455,0.10588243961791133
120232,117204.0,1635.0401082,0.1072864305314689
337391,337191.0,1634.0014265999998,0.10868952954058865
121045,114212.0,1632.9745418,0.1100917467750527
113024,113017.0,1632.9745418,0.11149396400951675
118207,118117.0,1622.9613518,0.11288758302812958
112106,112216.0,1610.333701,0.1142703588222283
112106,112005.0,1610.333701,0.11565313461632702
119106,112135.0,1609.3853878,0.11703509610433666
118115,124201.0,1600.9068538,0.1184097771686817
110071,110066.0,1594.1052061999999,0.11977861773322511
117319,122027.0,1575.0528482,0.12113109824801824
102001,102202.0,1573.8102423,0.12248251175082557
114024,112001.0,1570.9969888,0.12383150954387034
337125,110057.0,1563.6257076000002,0.12517417769902173
112207,106204.0,1540.82803,0.12649726973977685
112207,120039.0,1540.82803,0.12782036178053197
106304,107205.0,1540.434697,0.12914311607057669
116007,116008.0,1538.0414324,0.1304638152906967
111010,111206.0,1533.1428572,0.13178030815830236
113051,113213.0,1503.3439431,0.13307121302692224
110006,110202.0,1495.9435902,0.1343557632941005
120232,122225.0,1495.0509422,0.13563954705428316
124110,110222.0,1469.4770818,0.13690137082250836
116042,102004.0,1467.117445,0.13816116839662992
113021,116136.0,1465.7666096,0.1394198060232873
120130,120027.0,1459.7675618,0.1406732923337421
199043,199056.0,1453.6397557,0.1419215167646618
118113,118228.0,1434.9921999,0.14315372874501717
111214,199039.0,1431.3752572,0.14438283489655512
118320,118220.0,1403.9401686,0.14558838284000153
123208,124113.0,1402.1665536,0.14679240779980263
121130,123205.0,1394.549799,0.14798989233640827
111114,124106.0,1387.0876836,0.1491809692367945
116007,120034.0,1375.6667676,0.15036223912253435
114024,118101.0,1365.6241418,0.15153488551622607
120232,120034.0,1360.0490313,0.15270274462400057
121130,121037.0,1359.918083,0.15387049128791364
124111,118113.0,1352.7629248,0.1550320938963705
118205,118224.0,1352.4677932,0.15619344307857647
110070,124225.0,1351.6096878,0.1573540554151366
111235,117211.0,1351.4998218,0.1585145734109739
108003,118129.0,1346.166009,0.15967051132056853
113022,113027.0,1338.3766612,0.16081976060308978
109023,120039.0,1338.0935068,0.1619687667440497
113024,113025.0,1335.430197,0.16311548593024905
116042,116009.0,1333.8277042,0.16426082907354952
305011,305004.0,1320.9720591999999,0.16539513321623012
305001,305003.0,1313.9482978,0.166523406132438
120035,110012.0,1311.7112654,0.16764975813358865
110110,106104.0,1310.928551,0.16877543802651396
317144,317745.0,1309.2849675,0.16989970659240936
115207,101205.0,1306.604491,0.17102167346268818
119204,108105.0,1295.813244,0.17213437400814843
118203,118218.0,1295.7291132,0.17324700231141835
316119,316114.0,1289.18283422,0.174354009397105
110246,112018.0,1275.649698,0.17544939572793092
106204,106202.0,1260.1525703,0.17653147484606654
105106,118220.0,1252.4627118,0.17760695076749378
123101,124126.0,1251.4536669,0.1786815602331907
118315,108314.0,1246.0980526,0.1797515708919373
118103,102003.0,1242.242694,0.18081827099676182
